code_ecole,nom_ecole,nature,autorite,niveau,genre,region,gouvernorat,liwa,qada,adresse,type_zone,periode,directorate,code_directorate
110273,الفقهاء الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,البصة - الحي:الفقهاء - الشارع:شارع البلدية,قرية,فترة واحدة,لواء وادي السير ,1108
110274,مرج الحمام الثانويه للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,لواء وادي السير -  مرج الحمام - شارع الاميرة تغريد,مدينة,فترة صباحية,لواء وادي السير ,1108
110275,مرج الحمام  المهنية بنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,وادي السير - الحي:مرج الحمام - الشارع:الصناعة,مدينة,فترة واحدة,لواء وادي السير ,1108
110276,الاميرة هيا بنت الحسين الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,ناعور - الحي:وسط البلد - الشارع:الملك حسين,مدينة,فترة واحدة,ناعور,1109
110277,السامك الاساسية للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء ام البساتين,العال - الحي:رجم السامك - الشارع:الغربي,قرية,فترة واحدة,ناعور,1109
110278,البنيات الثانوية الشاملة للبنات,publique,وزارة التربية و التعليم,المرحلة الثانوية,اناث,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,البنيات - الحي:البنيات - الشارع:راكان الشوبكي,قرية,فترة واحدة,ناعور,1109
110279,عائشه بنت ابي بكر الثانويه للبنات,publique,وزارة التربية و التعليم,المرحلة الثانوية,اناث,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,وادي السير - الحي:اسكان التربية مرج الحمام - الشارع:شارع الملك عبدالله الثاني,مدينة,فترة واحدة,لواء وادي السير ,1108
110280,الحامديه الاساسيه المختلطه,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,الحامدية - الحي:الحامدية - الشارع:الحامدية,قرية,فترة واحدة,لواء وادي السير ,1108
110281,ام البساتين الاساسيه للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء ام البساتين,ام البساتين,قرية,فترة واحدة,ناعور,1109
110282,طلحة بن عبيد الله الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,ناعور - الحي:العامرية - الشارع:القدس,قرية,فترة واحدة,ناعور,1109
110283,ام عبهره الثانويه الشاملة للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,وادي الشتا - الحي:القصير - الشارع:وادي الشتا,قرية,فترة واحدة,لواء وادي السير ,1108
110284,عراق الامير الثانوية الشاملة للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,عراق الامير - الحي:عراق الامير - الشارع:ام حجر,قرية,فترة واحدة,لواء وادي السير ,1108
110285,الامير هاشم الثانويه بنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,العدسية - الحي:حي المناخ - الشارع:شارع تركي,قرية,فترة واحدة,ناعور,1109
110286,ام القطين الاساسيه بنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,أم القطين - الحي:المدارس - الشارع:شارع المدارس,قرية,فترة واحدة,ناعور,1109
110287,السامك الثانويه للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء ام البساتين,السامك - الحي:الشرقي - الشارع:الرئيسي,قرية,فترة واحدة,ناعور,1109
110288,القلة الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,البنيات - الحي:الشرقي - الشارع:عمر بن الخطاب,قرية,فترة واحدة,ناعور,1109
110289,الالمانيه الثانوية المختلطه,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,الالمانية والقصبات - الحي:الالمانية والقصبات - الشارع:الالمانية,قرية,فترة واحدة,لواء وادي السير ,1108
110290,ادبيان الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء ام البساتين,ام البساتين - الحي: - الشارع:,قرية,فترة واحدة,ناعور,1109
110291,البنيات الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,البنيات - الحي:مسجد البنيات - الشارع:شهداء الاقصى,مدينة,فترة واحدة,ناعور,1109
110292,ام البرك  الاساسية للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء ام البساتين,ام البرك - الحي:ام البرك - الشارع:الرئيسي,قرية,فترة واحدة,ناعور,1109
110293,الروضه الاساسيه للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء حسبان,الروضة - الحي:البلد - الشارع:البلدية,مدينة,فترة واحدة,ناعور,1109
110294,البنيات الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,البنيات - الحي:الشمالي - الشارع:شهداء الاقصى,مدينة,فترة واحدة,ناعور,1109
110295,زبود الاساسية للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور, ناعور,زبود - الحي:زبود - الشارع:الرئيسي,مدينة,فترة واحدة,ناعور,1109
110297,مرج الحمام الاساسيه المختلطه,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,وادي السير - الحي:اسكان التربيه - الشارع:الشارع  الرئيسي,مدينة,فترة صباحية,لواء وادي السير ,1108
110299,المشقر الثانوية بنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء حسبان,المشقر - الهواية,قرية,فترة واحدة,ناعور,1109
110300,حسبان الثانويه الشاملة  للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء حسبان,حسبان - الحي:المشاعلة - الشارع:الرئيسي,قرية,فترة واحدة,ناعور,1109
