source,nom,nom_en,longitude,latitude,ville,province,district,telephone,giga_id,niveau
Giga,Trường THPT Điền Hải,Trường THPT Điền Hải,105.49187469482422,9.105999946594238,,,,,0ff8dd2f-250a-3ae3-b3c0-5ded21ab19dc,Unknown
Giga,Trường THPT Đinh Tiên Hoàng,Trường THPT Đinh Tiên Hoàng,105.98811340332031,20.250900268554688,,,,,27bdf04b-3de2-355f-a762-d84cbf16403d,Unknown
Giga,Trường THPT Đinh Tiên Hoàng,Trường THPT Đinh Tiên Hoàng,106.08789825439453,20.820165634155273,,,,,563da644-501f-3d7f-bbda-84a10d58fca9,Unknown
Giga,Trường THPT Đinh Tiên Hoàng,Trường THPT Đinh Tiên Hoàng,105.8431625366211,21.046289443969727,,,,,0964697b-1b43-3d5c-87ef-03bb700c87f0,Unknown
Giga,Trường THPT Đinh Tiên Hoàng - Ba Đình (Phố Chương Dương Độ),Trường THPT Đinh Tiên Hoàng - Ba Đình (Phố Chương Dương Độ),105.85901641845703,21.029207229614258,,,,,2e3f1d6a-f4fb-3017-81c5-60f6c4635f44,Unknown
Giga,Trường THPT Đoan Hùng,Trường THPT Đoan Hùng,105.1836929321289,21.642837524414062,,,,,c7a22120-0314-3aca-a53c-269af8d54f92,Unknown
Giga,Trường THPT Đoàn Kết,Trường THPT Đoàn Kết,105.31787109375,20.550762176513672,,,,,928ab431-5b9e-34c3-81ef-58cedbbbb985,Unknown
Giga,Trường THPT Đoàn Kết - Hai Bà Trưng,Trường THPT Đoàn Kết - Hai Bà Trưng,105.85530853271484,20.998302459716797,,,,,c154036b-9925-3378-9dbc-022cd4a218e9,Unknown
Giga,Trường THPT Đốc Binh Kiều,Trường THPT Đốc Binh Kiều,106.1261978149414,10.407029151916504,,,,,66be2c0f-4eb6-33ad-b69b-7ce97970cfe6,Unknown
Giga,Trường THPT Đỗ Huy Liêu,Trường THPT Đỗ Huy Liêu,106.06071472167969,20.286745071411133,,,,,3e04203b-fd53-302e-91d9-8761852133e9,Unknown
Giga,Trường THPT Đội Cấn,Trường THPT Đội Cấn,105.50139617919922,21.199642181396484,,,,,bfbab395-b026-3a58-ad7a-0164ad32b73f,Unknown
Giga,Trường THPT Đội Cấn (cơ sở 2),Trường THPT Đội Cấn (cơ sở 2),105.49890899658203,21.20013999938965,,,,,9a39729d-9323-32df-a040-e282fac8288c,Unknown
Giga,Trường THPT Đỗ Mười,Trường THPT Đỗ Mười,105.8477554321289,20.953264236450195,,,,,a3a0ff4c-3909-37e6-8c53-e660372b3941,Unknown
Giga,Trường THPT Đông Anh,Trường THPT Đông Anh,105.85275268554688,21.157363891601562,,,,,cb4ebd5a-fcae-32db-b3be-6e2108648b55,Unknown
Giga,Trường THPT Đồng Đậu,Trường THPT Đồng Đậu,105.55966186523438,21.259672164916992,,,,,7672167f-5fa1-3628-b344-f9e5d778926b,Unknown
Giga,Trường THPT Đông Dương,Trường THPT Đông Dương,106.67927551269531,10.85677433013916,,,,,b8a26dbb-370e-3605-bdc4-79900045b5c2,Unknown
Giga,Trường THPT Đông Hà,Trường THPT Đông Hà,107.09532165527344,16.814563751220703,,,,,89fa4b02-9203-3f0a-8938-032061d37d7e,Unknown
Giga,Trường THPT Đồng Hới,Trường THPT Đồng Hới,106.57514953613281,17.450340270996094,,,,,3b2b86e7-7745-3134-81bf-246ed9db9028,Unknown
Giga,Trường THPT Đông Hưng Hà,Trường THPT Đông Hưng Hà,106.24650573730469,20.618064880371094,,,,,f970641c-b4aa-350b-9823-d15a4268e33d,Unknown
Giga,Trường THPT Đồng Hỷ,Trường THPT Đồng Hỷ,105.84439086914062,21.6301326751709,,,,,c83d0eaa-9176-385f-9b33-c8c353ba5195,Unknown
Giga,Trường THPT Đồng Hỷ,Trường THPT Đồng Hỷ,105.8443832397461,21.630002975463867,,,,,351eda73-189a-350a-9c47-9c7727307de8,Unknown
Giga,Trường THPT Đông Mỹ,Trường THPT Đông Mỹ,105.87118530273438,20.911483764648438,,,,,10cd2cac-506f-353f-b086-a2f971a3d769,Unknown
Giga,Trường THPT Đồng Phú,Trường THPT Đồng Phú,106.86422729492188,11.446793556213379,,,,,771fece3-b06c-328f-8aae-f5bfc15219b5,Unknown
Giga,Trường THPT Đông Quan,Trường THPT Đông Quan,106.35445404052734,20.5493221282959,,,,,a90ec1b9-447b-3841-8982-df22da6b0ec4,Unknown
Giga,Trường THPT Đông Sơn 1,Trường THPT Đông Sơn 1,105.71976470947266,19.813657760620117,,,,,35f14a79-b0ba-3af6-b445-416a09cdd14d,Unknown
Giga,Trường THPT Đông Sơn 2,Trường THPT Đông Sơn 2,105.72445678710938,19.782716751098633,,,,,4cc776d1-b8b1-3d24-aabe-ddff98fe2397,Unknown
Giga,Trường THPT Đông Thành,Trường THPT Đông Thành,106.85086822509766,21.002573013305664,,,,,3bc0296f-5c65-393a-b4ad-caa080c2e310,Unknown
Giga,Trường THPT Đông Thuỵ Anh,Trường THPT Đông Thuỵ Anh,106.55790710449219,20.561948776245117,,,,,2d4de54f-c449-3f89-ad06-66a0a4773914,Unknown
Giga,Trường THPT Đông Tiền Hải,Trường THPT Đông Tiền Hải,106.57734680175781,20.437313079833984,,,,,a0b1eb57-70bd-3693-b393-22cc690fbf0e,Unknown
Giga,Trường THPT Đồng Xoài,Trường THPT Đồng Xoài,106.87318420410156,11.528491973876953,,,,,07813a2d-be49-3805-b68d-658ee9715c79,Unknown
Giga,Trường THPT DTNT Trà Vinh,Trường THPT DTNT Trà Vinh,106.34767150878906,9.958541870117188,,,,,3b9cb25b-a6fc-3766-9dfe-671ac1cd5e4e,Unknown
Giga,Trường THPT Đức Hợp,Trường THPT Đức Hợp,105.99478912353516,20.730976104736328,,,,,4b51807c-7a75-3725-bac7-a0b26c8e8010,Unknown
Giga,Trường THPT Đức Tân,Trường THPT Đức Tân,107.6304702758789,10.845932960510254,,,,,bfb86486-5f50-3c70-b3c2-f11fe2490012,Unknown
Giga,Trường THPT Đường An,Trường THPT Đường An,106.18785095214844,20.879295349121094,,,,,5cd2d2b1-e813-3fc5-814f-4326cc81db53,Unknown
Giga,Trường THPT Dương Minh Châu,Trường THPT Dương Minh Châu,106.22863006591797,11.378658294677734,,,,,7647e07e-c5d9-3d8b-8721-b30d31c063e2,Unknown
Giga,Trường THPT Dương Quảng Hàm,Trường THPT Dương Quảng Hàm,105.93267822265625,20.922626495361328,,,,,2c4619d7-aebe-3d77-a6ca-a010112c28f5,Unknown
Giga,Trường THPT Dương Văn Dương,Trường THPT Dương Văn Dương,106.74129486083984,10.679503440856934,,,,,8474bf38-d742-31cc-a331-8d2aceb032ef,Unknown
Giga,Trường THPT Dương Văn Thì,Trường THPT Dương Văn Thì,106.7929916381836,10.84062671661377,,,,,a23fc1f6-fd21-340e-9cf0-7e559a81cde1,Unknown
Giga,Trường THPT Duyên Hải,Trường THPT Duyên Hải,106.49905395507812,9.634862899780273,,,,,5f06a0da-98d0-30fd-9073-af2916114382,Unknown
Giga,Trường THPT FPT,Trường THPT FPT,105.52345275878906,21.013383865356445,,,,,7a239d3b-8d2e-3629-a14a-79d4e6385e63,Unknown
Giga,Trường THPT Gia Bình số 1,Trường THPT Gia Bình số 1,106.22978973388672,21.06553077697754,,,,,db49ea11-2223-32fe-958f-519f87aaa125,Unknown
Giga,Trường THPT GIAI XUÂN,Trường THPT GIAI XUÂN,105.67643737792969,10.038297653198242,,,,,9d112829-2d2f-319c-a7e8-b29ac8e5edb6,Unknown
Giga,Trường THPT GIAI XUÂN,Trường THPT GIAI XUÂN,105.67650604248047,10.038457870483398,,,,,f77b8f34-128b-33f3-aca3-dc663e4b16ee,Unknown
Giga,Trường THPT Gia Lộc II,Trường THPT Gia Lộc II,106.30274200439453,20.859619140625,,,,,f890b189-0d74-3c78-b4cd-f34b2b7021ef,Unknown
Giga,Trường THPT Gia Nghĩa,Trường THPT Gia Nghĩa,107.67707824707031,11.99380111694336,,,,,5c994b75-f9c8-3835-bff7-f99239f181d7,Unknown
Giga,Trường THPT Giao Thuỷ,Trường THPT Giao Thuỷ,106.44784545898438,20.28295135498047,,,,,3194ccbd-42d9-362a-9b5f-9a898fe9b08e,Unknown
Giga,Trường THPT Giao Thuỷ B,Trường THPT Giao Thuỷ B,106.3938217163086,20.233625411987305,,,,,1c55e390-9972-3e1f-bcea-14013eba077e,Unknown
Giga,Trường THPT Giao Thuỷ C,Trường THPT Giao Thuỷ C,106.48808288574219,20.26680564880371,,,,,5ecbe86c-1711-35d9-8c90-8421532f8c1f,Unknown
Giga,Trường THPT Giá Rai,Trường THPT Giá Rai,105.44831085205078,9.23743724822998,,,,,2dfb72d6-ee2f-3753-a042-7bba3dd3e812,Unknown
Giga,Trường THPT Giồng Ông Tố,Trường THPT Giồng Ông Tố,106.75542449951172,10.786076545715332,,,,,0bd34be4-9fe5-3767-b93d-593f4c267c00,Unknown
Giga,Trường THPT Gò Công Đông,Trường THPT Gò Công Đông,106.71611785888672,10.397448539733887,,,,,ddde4958-2154-3701-a551-68f599758a87,Unknown
Giga,Trường THPT Gò Đen,Trường THPT Gò Đen,106.54037475585938,10.638262748718262,,,,,bfabc78c-c038-3a6f-a571-003740ab85ef,Unknown
Giga,Trường THPT Hạ Hoà,Trường THPT Hạ Hoà,105.0121841430664,21.56374168395996,,,,,3e9d0aa6-ba8d-3a01-8818-bde8466091a0,Unknown
Giga,TRƯỜNG THPT HẢI AN,TRƯỜNG THPT HẢI AN,106.71000671386719,20.837486267089844,,,,,901d3feb-a4bc-3b12-9bd3-586b48a48bc1,Unknown
Giga,Trường THPT Hai Bà Trưng,Trường THPT Hai Bà Trưng,105.71048736572266,21.23029899597168,,,,,eec69844-26cd-3d6c-8ffc-4364e09b5a7a,Unknown
Giga,Trường THPT Hải Đảo,Trường THPT Hải Đảo,107.43333435058594,21.079416275024414,,,,,4917b879-1171-35ee-9678-2fe4941c91ca,Unknown
Giga,Trường THPT Hạ Long,Trường THPT Hạ Long,107.08528900146484,20.968292236328125,,,,,2363e92a-b47c-36e8-8861-58fec738ee28,Unknown
Giga,Trường THPT Hàm Long,Trường THPT Hàm Long,106.11587524414062,21.149534225463867,,,,,8b4a549e-c66a-3bb9-afbb-59a5770f3df0,Unknown
Giga,Trường THPT Hàm Rồng,Trường THPT Hàm Rồng,105.77825927734375,19.816364288330078,,,,,ee3c2ef4-2280-3be2-a030-82e56595a1af,Unknown
Giga,Trường THPT Hàm Thuận Nam,Trường THPT Hàm Thuận Nam,107.88263702392578,10.852696418762207,,,,,f85621d2-d56d-3a88-923a-8e5ba9c81caa,Unknown
Giga,Trường THPT Hà Văn Mao,Trường THPT Hà Văn Mao,105.30904388427734,20.295068740844727,,,,,9900d113-42e7-37f6-8014-ef2ea055e92f,Unknown
Giga,Trường THPT Hiệp Bình,Trường THPT Hiệp Bình,106.72227478027344,10.847885131835938,,,,,2e7b56aa-21b0-3cdc-8c3e-8547fdb2c8c4,Unknown
Giga,Trường THPT Hiệp Hoà số 2,Trường THPT Hiệp Hoà số 2,105.96063995361328,21.299083709716797,,,,,a6325ebe-834f-3517-ae01-0350739316d1,Unknown
Giga,Trường THPT Hiệp Thành,Trường THPT Hiệp Thành,105.73728942871094,9.228480339050293,,,,,718adb5d-5059-3161-b608-a9e75969ff53,Unknown
Giga,Trường THPT Hoà Bình,Trường THPT Hoà Bình,106.6707992553711,10.760919570922852,,,,,eda27704-0d82-33a1-80df-f41b5c035b59,Unknown
Giga,Trường THPT Hòa Đa,Trường THPT Hòa Đa,108.56645202636719,11.182162284851074,,,,,3d65f13a-0b66-36f9-b4bd-c9720fbe839b,Unknown
Giga,Trường THPT Hoa Động,Trường THPT Hoa Động,106.66636657714844,20.889341354370117,,,,,5f303419-0c40-3818-b204-77ba0758f559,Unknown
Giga,Trường THPT Hoài Ân,Trường THPT Hoài Ân,108.96199035644531,14.361469268798828,,,,,02bcd09b-7d31-3332-83e2-0b7cc954b5de,Unknown
Giga,Trường THPT Hoài Đức C,Trường THPT Hoài Đức C,105.69678497314453,21.01944923400879,,,,,0473ecb9-1093-3264-b41a-bed1bba0e480,Unknown
Giga,Trường THPT Hoa Lư A,Trường THPT Hoa Lư A,105.94922637939453,20.29485511779785,,,,,b42f4f1c-f090-3947-9a19-104772b49fa5,Unknown
Giga,Trường THPT Hoàng Diệu,Trường THPT Hoàng Diệu,107.25820922851562,10.940837860107422,,,,,d8fd7c40-15f5-3e5a-b4c3-60e21d763ec3,Unknown
Giga,Trường THPT Hoàng Diệu,Trường THPT Hoàng Diệu,105.97782135009766,9.60398006439209,,,,,26141f0e-6896-3007-8e34-ef529520281d,Unknown
