id,الاسم,الاسم_بالانجليزي,نوع_الملكية,المرحلة_الدراسية,نوع_المنشأة,المحافظة,القضاء,الناحية,adm4,المدينة,العنوان,خط_الطول,خط_العرض,adm0_pcode,adm1_pcode,adm2_pcode,adm3_pcode,adm4_pcode,المصدر
way/1244628320,خوێندنگەی سەرەتایی کوردستان - هێمن,Kurdistan - Hemn Primary School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4082167, 35.4809897], [44.4083307, 35.4804904], [44.4078553, 35.4804197], [44.4078382, 35.4804172], [44.407822, 35.4804148], [44.4075858, 35.4803797], [44.4074752, 35.480883], [44.4082167, 35.4809897]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1244628321,خوێندنگەی ناوەندی بۆتان - سەرەتایی پیرەمێرد,Secondary Botan-Primary Piramerd School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4093923, 35.4806357], [44.4091076, 35.4805932], [44.4090952, 35.4805914], [44.4090815, 35.4805893], [44.4085509, 35.4805101], [44.4083919, 35.4812588], [44.4092158, 35.4813942], [44.4093923, 35.4806357]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
relation/13447347,باخچەی ساوایانی پەپوولە,Papula Kindergarten,غير محددة,روضة أطفال,روضة أطفال,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4098102, 35.4807043], [44.4093923, 35.4806357], [44.4092158, 35.4813942], [44.4096417, 35.4814569], [44.4098102, 35.4807043]]","[[44.4096808, 35.4810889], [44.4095967, 35.4810735], [44.4096268, 35.4809412], [44.4095069, 35.4809187], [44.4094462, 35.4811251], [44.409323, 35.4811041], [44.4093914, 35.4808243], [44.4094149, 35.4808043], [44.4094477, 35.480789], [44.4094942, 35.4807792], [44.4096906, 35.4808071], [44.4097166, 35.4808165], [44.4097349, 35.4808404], [44.409711, 35.4809501], [44.4096808, 35.4810889]]",IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1244628322,خوێندنگەی سەرەتایی بڵێسە - کچان,Blesa Primary School For Girls,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4095273, 35.4821441], [44.4087394, 35.4820336], [44.4086382, 35.4814161], [44.4096339, 35.481572], [44.4095273, 35.4821441]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1246283807,خوێندنگەی ناوەندیی ڕزگاری,Secondary Rzgari School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4013136, 35.4796526], [44.4013235, 35.479625], [44.4012259, 35.4792561], [44.4010744, 35.4790128], [44.4008068, 35.4788595], [44.4005463, 35.4789264], [44.40061, 35.4796261], [44.4013136, 35.4796526]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1244628335,,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.4026375, 35.4797716], [44.402728, 35.4790623], [44.402367, 35.4789067], [44.4016521, 35.4791465], [44.4016606, 35.4791765], [44.4014893, 35.4792583], [44.4015416, 35.4793379], [44.4013661, 35.4793725], [44.4014382, 35.4796183], [44.4015316, 35.4797002], [44.4020882, 35.4797425], [44.4020997, 35.4797231], [44.4021134, 35.4797045], [44.4021288, 35.4796876], [44.4021524, 35.4796668], [44.4021768, 35.47965], [44.4022073, 35.4796337], [44.4022399, 35.4796209], [44.4022697, 35.4796126], [44.402298, 35.4796075], [44.4023269, 35.4796047], [44.4023624, 35.4796048], [44.4023982, 35.4796086], [44.4024257, 35.4796142], [44.4024526, 35.4796222], [44.4024741, 35.4796305], [44.4024949, 35.4796404], [44.4025138, 35.4796512], [44.4025377, 35.4796679], [44.4025591, 35.4796869], [44.4025752, 35.4797044], [44.4025889, 35.4797228], [44.4026025, 35.4797465], [44.4026129, 35.4797719], [44.4026375, 35.4797716]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/897142582,خوێندنگەی سەرەتایی یادگار - کچان,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,كركوك,,"[[44.4043182, 35.4793876], [44.4043066, 35.4794585], [44.4042972, 35.4795064], [44.4042368, 35.4798653], [44.4042315, 35.479909], [44.4047144, 35.4799428], [44.4047659, 35.4794377], [44.4043182, 35.4793876]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1244215548,خوێندنگەی سەرەتایی گەل,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.3978041, 35.475717], [44.3982301, 35.4755816], [44.3981925, 35.4754715], [44.3983717, 35.475406], [44.3983899, 35.4750591], [44.3977129, 35.4750976], [44.3978041, 35.475717]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1244628331,,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.3965913, 35.4770734], [44.3967229, 35.4769963], [44.3967488, 35.4770241], [44.396778, 35.4770057], [44.3967898, 35.4770201], [44.3969065, 35.4769529], [44.3969463, 35.4769305], [44.3970386, 35.4768747], [44.3966701, 35.4764542], [44.3962634, 35.4766649], [44.3965913, 35.4770734]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1244628334,,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.3965913, 35.4770734], [44.3968823, 35.4774081], [44.3972292, 35.4772144], [44.3970664, 35.4769631], [44.3971018, 35.4769366], [44.3970386, 35.4768747], [44.3969463, 35.4769305], [44.3969065, 35.4769529], [44.3967898, 35.4770201], [44.396778, 35.4770057], [44.3967488, 35.4770241], [44.3967229, 35.4769963], [44.3965913, 35.4770734]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
node/6380678285,مدرسة براعم الصباح الابتدائية لذوي الاحتياجات الخاصة,Baraem Sabah Primary school For Special Needs,خاصة,ابتدائية,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,كركوك,,44.3938389,35.4872748,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/757259773,قازی محمد,Qazi mohammed,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,كركوك,,"[[44.3925588, 35.4788439], [44.3925989, 35.4788921], [44.392585, 35.4788997], [44.3926409, 35.4789596], [44.392526, 35.4790276], [44.3926536, 35.4791717], [44.3928195, 35.4790859], [44.3928525, 35.4791265], [44.3928119, 35.479147], [44.3930737, 35.4794695], [44.3927588, 35.4796313], [44.3925932, 35.4794281], [44.3926885, 35.4793742], [44.3928247, 35.4795367], [44.3929583, 35.4794707], [44.3928034, 35.479275], [44.3926443, 35.4793578], [44.3925804, 35.4792801], [44.3926186, 35.4792599], [44.3924514, 35.4790737], [44.3924781, 35.4790599], [44.3924297, 35.4790034], [44.3925314, 35.4789441], [44.3924796, 35.4788893], [44.3925588, 35.4788439]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1491996891,,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.3928739, 35.4801211], [44.3926457, 35.4798237], [44.3932283, 35.479487], [44.3934887, 35.4797953], [44.3928739, 35.4801211]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
node/5482748225,روضة سوما الاهلية,Soma Kindergarten,غير محددة,روضة أطفال,روضة أطفال,Kirkuk,Kirkuk,Markaz Kirkuk,,,,44.3867429,35.4823137,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
node/7755891700,ئامادەیی پیشەسازی ئەڵماس,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,كركوك,,44.3859642,35.4816521,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
node/4941717925,اعدادية الحكمة للبنين,Hallgurd School For Boys,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,كركوك,,44.3773662,35.4773756,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
node/12960105344,اعدادية ابو ايوب الانصاري المسائية,Abu Ayoub Al-Ansari Evening Preparatory School,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,44.3782361,35.476536,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1493935007,ثانوية ژاله للبنات,,غير محددة,ثانوية,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.3775884, 35.4754225], [44.378, 35.4751848], [44.3779785, 35.47512], [44.3781963, 35.4750533], [44.3777904, 35.4744358], [44.3769982, 35.4747566], [44.3775884, 35.4754225]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
node/6417495686,مدرسة الحرية الابتدائية,,غير محددة,ابتدائية,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,كركوك,,44.3778454,35.4765305,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1493934999,مدرسة عمر المختار الابتدائية,,غير محددة,ابتدائية,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.3750215, 35.4751402], [44.3752452, 35.47498], [44.3755241, 35.4753385], [44.3757619, 35.4752601], [44.3756119, 35.4750664], [44.3753896, 35.4748128], [44.3750668, 35.4744508], [44.3746419, 35.4748448], [44.3750215, 35.4751402]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
way/1493935002,مدرسة طارق بن زياد,,غير محددة,غير محدد,مدرسة,Kirkuk,Kirkuk,Markaz Kirkuk,,,,"[[44.3745401, 35.4756914], [44.3749271, 35.4755539], [44.3753165, 35.4754083], [44.3755241, 35.4753385], [44.3752452, 35.47498], [44.3750215, 35.4751402], [44.3746419, 35.4748448], [44.3742579, 35.4751885], [44.3745401, 35.4756914]]",,IRQ,IQG13,IQG13Q04,IQG13Q04N06,,
