id,الاسم_بالعربية,الاسم_بالانجليزية,نوع_الملكية,المرحلة_الدراسية,نوع_المنشأة,المحافظة_AR,المنطقة_AR,الناحية_AR,المحافظة_EN,المنطقة_EN,الناحية_EN,adm0_pcode,adm1_pcode,adm2_pcode,adm3_pcode,adm4_pcode,المدينة,العنوان,خط_الطول,خط_العرض,المصدر
way/203546712,مدرسة محمد الشاعر,ثانوية محمد الشاعر,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية محمد الشاعر, نزلة الفرابي, Almaji district, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.165622,36.210492,
node/10060958879,ثانوية محمد الشاعر,ثانوية محمد الشاعر,غير محددة,ثانوية,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية محمد الشاعر, نزلة الفرابي, Almaji district, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.165563,36.210441,
node/6277092585,معهد التدريب المهني,معهد التدريب المهني,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"معهد التدريب المهني, Maysalun Street, Almaji district, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.165717,36.212247,
way/203569183,مدرسة التجارة,tijara school,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"Secondary School for girls, Maysalun Street, حي الجابريه, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.16733,36.212953,
node/2158133563,Secondary School for girls,Secondary School for girls,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"Secondary School for girls, Maysalun Street, حي الجابريه, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.166976,36.212963,
way/203569274,Secondary School for girls,Secondary School for girls,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"Secondary School for girls, Maysalun Street, حي الجابريه, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.16688,36.213076,
way/203569196,مدرسة التجارة,tijara school,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة التجارة, Maysalun Street, حي الجابريه, Sheikh Kheder district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.166733,36.212952,
way/203546690,مدرسة ميسلون,مدرسة ميسلون,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة ميسلون, نزلة الفرابي, Almaji district, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.16496,36.212183,
way/203546697,مدرسة عمار ابن ياسر,مدرسة عمار ابن ياسر,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة عمار ابن ياسر, شارع مار سمعان العمودي, Almaji district, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.164811,36.21187,
way/203546665,مدرسة عمار بن ياسر,مدرسة عمار ابن ياسر,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة عمار ابن ياسر, شارع مار سمعان العمودي, Almaji district, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.164928,36.211363,
