CCT,NOMBRE,SECTOR,ESTADO,MUNICIPIO,LOCALIDAD,AMBITO,VIALIDAD,NUM_EXT,COLONIA,CP,LATITUD,LONGITUD
09DPR0878U,JOSEFINA RODRIGUEZ SOLIS GUDIÑO,PÚBLICO,CIUDAD DE MÉXICO,ÁLVARO OBREGÓN,ÁLVARO OBREGÓN,URBANO,CALLE NICANOR ARVIDE,1,MINAS CRISTO REY,1419,19.380727,-99.203409
09DPR0895K,VICENTE LOMBARDO TOLEDANO,PÚBLICO,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,URBANO,CALLE MIGUEL ALEMÁN,1,BENITO JUÁREZ,7250,19.533242,-99.139021
09DPR0898H,COPIAPO,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,CALLE SUPER MANZANA 3,1,UNIDAD VICENTE GUERRERO,9200,19.36068,-99.055403
09DPR0899G,ESTADO DE TLAXCALA,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,EJE VIAL 1 OTE.,1,ASTURIAS,6850,19.408764,-99.127611
09DPR0901E,ESTADO DE YUCATAN,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE GONZÁLEZ BOCANEGRA,14,GUERRERO,6300,19.446622,-99.138042
09DPR0902D,ESTADO DE SINALOA,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALZADA COYUYA,22,LA CRUZ,8310,19.40322,-99.118042
09DPR0903C,ESTADO DE SONORA,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE WAGNER,34,EX-HIPÓDROMO DE PERALVILLO,6250,19.456116,-99.131972
09DPR0904B,EMILIO BRAVO,PÚBLICO,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,URBANO,AVENIDA EMILIANO ZAPATA,1,ZONA ESCOLAR ORIENTE,7239,19.541065,-99.140583
09DPR0905A,PROFRA. CARMEN COSGAYA RIVAS,PÚBLICO,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,URBANO,AVENIDA GUADALUPE VICTORIA,1,CUAUTEPEC DE MADERO,7200,19.544383,-99.137633
09DPR0906Z,18 DE MARZO,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE JOSÉ MARÍA BUSTILLOS,60,ALGARIN,6880,19.404141,-99.141693
09DPR0907Z,18 DE MARZO,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE JOSÉ MARÍA BUSTILLOS,60,ALGARIN,6880,19.404131,-99.141693
09DPR0908Y,TLILALPACATL,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,AVENIDA MÉXICO,6,ACULCO,9410,19.372622,-99.105056
