id,nom_ecole,type_code,type_nom,statut,annee,latitude,longitude,commune_code,commune_fi,commune_sv,seutukunta_code,seutukunta_fi,seutukunta_sv,maakunta_code,maakunta_fi,maakunta_sv
08581,Mikaelin koulu,12,Peruskouluasteen erityiskoulut,0,2025,60.447377,22.253548,853,Turku,Åbo,023,Turku,Åbo,02,Varsinais-Suomi,Egentliga Finland
03543,Mikaelskolan,11,Peruskoulut,0,2025,59.986132,23.413304,710,Raasepori,Raseborg,014,Raasepori,Raseborg,01,Uusimaa,Nyland
06808,Mikkelin Lyseon koulu,11,Peruskoulut,0,2025,61.693529,27.277151,491,Mikkeli,S:t Michel,101,Mikkeli,S:t Michel,10,Etelä-Savo,Södra Savolax
00509,Mikkelin lukio,15,Lukiot,0,2025,61.691393,27.267908,491,Mikkeli,S:t Michel,101,Mikkeli,S:t Michel,10,Etelä-Savo,Södra Savolax
03608,Mikkelän koulu,11,Peruskoulut,0,2025,60.205397,24.632596,049,Espoo,Esbo,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
03190,Mikkolan koulu,11,Peruskoulut,0,2025,60.340818,25.095341,092,Vantaa,Vanda,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
03637,Mikkolan koulu,11,Peruskoulut,2,2025,60.394656,25.019304,858,Tuusula,Tusby,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
03069,Minervaskolan,11,Peruskoulut,0,2025,60.175918,24.925414,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
07527,Minna Canthin koulu,11,Peruskoulut,0,2025,62.891312,27.650982,297,Kuopio,Kuopio,112,Kuopio,Kuopio,11,Pohjois-Savo,Norra Savolax
03619,Moision koulu,11,Peruskoulut,6,2025,60.253578,24.081343,444,Lohja,Lojo,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
06187,Moision koulu,11,Peruskoulut,2,2025,61.653805,27.264185,491,Mikkeli,S:t Michel,101,Mikkeli,S:t Michel,10,Etelä-Savo,Södra Savolax
08523,Moision koulu,11,Peruskoulut,0,2025,60.391613,23.135165,734,Salo,Salo,022,Salo,Salo,02,Varsinais-Suomi,Egentliga Finland
08717,Moision koulu,11,Peruskoulut,0,2025,61.345896,23.755051,418,Lempäälä,Lempäälä,064,Tampere,Tammerfors,06,Pirkanmaa,Birkaland
07926,Molpe skola,11,Peruskoulut,0,2025,62.866608,21.281618,280,Korsnäs,Korsnäs,152,Vaasa,Vasa,15,Pohjanmaa,Österbotten
06541,Monnin koulu,11,Peruskoulut,0,2025,60.686147,24.831662,694,Riihimäki,Riihimäki,052,Riihimäki,Riihimäki,05,Kanta-Häme,Egentliga Tavastland
07254,Monninkylän koulu,11,Peruskoulut,0,2025,60.497819,25.53318,018,Askola,Askola,015,Porvoo,Borgå,01,Uusimaa,Nyland
07854,Mosebacke skola,11,Peruskoulut,0,2025,62.472096,21.356507,545,Närpiö,Närpes,153,Sydösterbotten,Sydösterbotten,15,Pohjanmaa,Österbotten
05743,Mouhijärven yhteiskoulu,11,Peruskoulut,0,2025,61.514392,22.998717,790,Sastamala,Sastamala,068,Lounais-Pirkanmaa,Sydvästra Birkaland,06,Pirkanmaa,Birkaland
00512,Muhoksen lukio,15,Lukiot,0,2025,64.810061,25.98877,494,Muhos,Muhos,171,Oulu,Uleåborg,17,Pohjois-Pohjanmaa,Norra Österbotten
06293,Muhoksen yläkoulu,11,Peruskoulut,0,2025,64.810061,25.98877,494,Muhos,Muhos,171,Oulu,Uleåborg,17,Pohjois-Pohjanmaa,Norra Österbotten
03675,Muijalan koulu,11,Peruskoulut,0,2025,60.28837,24.190988,444,Lohja,Lojo,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
05140,Muistolan koulu,11,Peruskoulut,0,2025,61.354552,22.89951,790,Sastamala,Sastamala,068,Lounais-Pirkanmaa,Sydvästra Birkaland,06,Pirkanmaa,Birkaland
07919,Mukkulan peruskoulu,11,Peruskoulut,0,2025,61.014602,25.663464,398,Lahti,Lahtis,071,Lahti,Lahtis,07,Päijät-Häme,Päijänne-Tavastland
07056,Munakan koulu,11,Peruskoulut,0,2025,62.841704,22.730595,743,Seinäjoki,Seinäjoki,142,Seinäjoki,Seinäjoki,14,Etelä-Pohjanmaa,Södra Österbotten
03024,Munkkiniemen ala-asteen koulu,11,Peruskoulut,0,2025,60.202609,24.875838,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
03402,Munkkiniemen yhteiskoulu,19,Perus- ja lukioasteen koulut,0,2025,60.200306,24.878386,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
03025,Munkkivuoren ala-asteen koulu,11,Peruskoulut,0,2025,60.206011,24.871196,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
05627,Munsala skola,11,Peruskoulut,0,2025,63.455699,22.435049,893,Uusikaarlepyy,Nykarleby,154,Jakobstadsregionen,Jakobstadsregionen,15,Pohjanmaa,Österbotten
00466,Muonion lukio,15,Lukiot,0,2025,67.965791,23.676483,498,Muonio,Muonio,196,Tunturi-Lappi,Tunturi-Lappi,19,Lappi,Lappland
04145,Muonion yhtenäiskoulu,11,Peruskoulut,0,2025,67.961536,23.676779,498,Muonio,Muonio,196,Tunturi-Lappi,Tunturi-Lappi,19,Lappi,Lappland
06413,Murron koulu,11,Peruskoulut,0,2025,64.842127,25.667863,859,Tyrnävä,Tyrnävä,171,Oulu,Uleåborg,17,Pohjois-Pohjanmaa,Norra Österbotten
06621,Mussalon koulu,11,Peruskoulut,0,2025,60.456086,26.882636,285,Kotka,Kotka,082,Kotka-Hamina,Kotka-Fredrikshamn,08,Kymenlaakso,Kymmenedalen
08381,Mustamäen koulu,11,Peruskoulut,0,2025,60.392443,23.036629,734,Salo,Salo,022,Salo,Salo,02,Varsinais-Suomi,Egentliga Finland
06973,Mustasaaren keskuskoulu,11,Peruskoulut,0,2025,63.117733,21.680747,905,Vaasa,Vasa,152,Vaasa,Vasa,15,Pohjanmaa,Österbotten
08112,Mustion koulu,11,Peruskoulut,0,2025,60.137752,23.852294,710,Raasepori,Raseborg,014,Raasepori,Raseborg,01,Uusimaa,Nyland
05914,Mutalan koulu,11,Peruskoulut,0,2025,62.61328,29.786916,167,Joensuu,Joensuu,122,Joensuu,Joensuu,12,Pohjois-Karjala,Norra Karelen
08735,Mutalan koulu,11,Peruskoulut,0,2025,61.66446,23.566127,980,Ylöjärvi,Ylöjärvi,064,Tampere,Tammerfors,06,Pirkanmaa,Birkaland
00575,Muuramen lukio,15,Lukiot,0,2025,62.131129,25.668355,500,Muurame,Muurame,131,Jyväskylä,Jyväskylä,13,Keski-Suomi,Mellersta Finland
04850,Muurasjärven koulu,11,Peruskoulut,0,2025,63.544927,25.23542,601,Pihtipudas,Pihtipudas,138,Saarijärvi-Viitasaari,Saarijärvi-Viitasaari,13,Keski-Suomi,Mellersta Finland
