"unique_id","province_code","geocode","source_id","provider","authority_id","authority_name","full_address","school_id","facility_name","streetAddress","postalCode","addressLocality","min_grade","max_grade","ISCED010","ISCED020","ISCED1","ISCED2","ISCED3","ISCED4Plus","is_OLMS","french_immersion","early_immersion","middle_immersion","late_immersion","facility_type","dguid","csdname","geometry","date_updated"
"e0b34addeee293d02eb2","BC",59,20,"Province of British Columbia","63","Saanich","2281 Henry Ave, Sidney","6363014","Sidney Elementary","2281 Henry Ave, Sidney","..","Sidney","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055917010","Sidney","POINT (-123.40499114990234 48.65272903442383)","2024-07-02"
"f50adbefc96f5e8b950b","BC",59,71,"Employment and Social Development Canada","..","..","101-1852 Canso Road, Sidney","APDG","Victoria Flying Club","101-1852 Canso Road","..","Sidney","..","..","0","0","0","0","0","1","0","0","0","0","0","Private Institution","2021A00055917005","North Saanich","POINT (-123.4209957 48.64522236)","2024-08-09"
"172bc24c588e076571fe","BC",59,20,"Province of British Columbia","8","Kootenay Lake","PO Box 10, Slocan","807026","W.E. Graham Community School","Slocan","..","Slocan","1","9","0","0","1","1","0","0","0","0","0","0","0","STANDARD","2021A00055903019","Slocan","POINT (-117.47026824951172 49.76347351074219)","2024-07-02"
"2bdf9700f13b46160cab","BC",59,20,"Province of British Columbia","123.0","Bulkley Valley Christian School Society","PO Box 3635, Smithers","5496782","Bulkley Valley Christian Online School","Smithers","..","Smithers","1","12","0","0","1","1","1","0","0","0","0","0","0","DISTRICT DISTANCE ED","2021A00055951043","Smithers","POINT (-127.15544128417969 54.77772521972656)","2024-07-02"
"1bd4600e25ee902bd36f","BC",59,20,"Province of British Columbia","123.0","Bulkley Valley Christian School Society","PO Box 3635, Smithers","5496124","Bulkley Valley Christian School","Smithers","..","Smithers","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055951043","Smithers","POINT (-127.15544128417969 54.77772521972656)","2024-07-02"
"c518c7a4e8d7d81a7de7","BC",59,20,"Province of British Columbia","54","Bulkley Valley","PO Box 758, Smithers","5499163","Bulkley Valley Education Connection","Smithers","..","Smithers","1","12","0","0","1","1","1","0","0","0","0","0","0","DISTRICT DISTANCE ED","2021A00055951043","Smithers","POINT (-127.1816635131836 54.7893180847168)","2024-07-02"
"dff6b8c661153bf54e78","BC",59,20,"Province of British Columbia","54","Bulkley Valley","PO Box 849, Smithers","5499182","Bulkley Valley Learning Centre","Smithers","..","Smithers","10","12","0","0","0","0","1","0","0","0","0","0","0","ALTERNATE","2021A00055951043","Smithers","POINT (-127.17340087890625 54.78266906738281)","2024-07-02"
"be95c1efa749b42b90ad","BC",59,65,"Province of British Columbia","..","..","3966 2nd Avenue, Smithers, BC","..","Coast Mountain College - Smithers Campus","3966 2nd Avenue, Smithers, BC","","Smithers","..","..","0","0","0","0","0","1","0","0","0","0","0","Public Post-Secondary","2021A00055951043","Smithers","POINT (-127.1736070005 54.7826770001)","2024-02-22"
"33f484b23b994495bcbb","BC",59,20,"Province of British Columbia","187.0","Canadian Reformed School Association Of Smithers","PO Box 3700, Smithers","5496064","Ebenezer Canadian Reformed School","Smithers","..","Smithers","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055951051","Bulkley-Nechako A","POINT (-127.13519287109375 54.78687286376953)","2024-07-02"
"7e3f9a0fffe1b3e06501","BC",59,20,"Province of British Columbia","93","Conseil scolaire francophone","3490 Fulton Ave, Smithers","9393013","La Grande-ourse","3490 Fulton Ave, Smithers","..","Smithers","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055951043","Smithers","POINT (-127.1576919555664 54.77869415283203)","2024-07-02"
"3b14252f3e7059092077","BC",59,20,"Province of British Columbia","54","Bulkley Valley","PO Box 2260 3659 3rd Ave, Smithers","5454006","Muheim Memorial Elementary","3659 3rd Ave, Smithers","..","Smithers","1","6","0","0","1","0","0","0","0","1","1","0","0","STANDARD","2021A00055951043","Smithers","POINT (-127.1673583984375 54.77811813354492)","2024-07-02"
"af5db716531eb5efb1db","BC",59,20,"Province of British Columbia","54","Bulkley Valley","PO Box 849, Smithers","5454013","Smithers Secondary","Smithers","..","Smithers","10","12","0","0","0","0","1","0","0","0","0","0","0","STANDARD","2021A00055951043","Smithers","POINT (-127.18067932128906 54.7900390625)","2024-07-02"
"4de497098a02b11dbd3c","BC",59,20,"Province of British Columbia","116.0","Catholic Independent Schools Diocese of Prince George","PO Box 454, Smithers","5496157","St Joseph's","Smithers","..","Smithers","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055951043","Smithers","POINT (-127.17771911621094 54.783084869384766)","2024-07-02"
"6b90b76979d18bfd68c6","BC",59,20,"Province of British Columbia","54","Bulkley Valley","PO Box 2692, Smithers","5454010","Walnut Park Elementary","Smithers","..","Smithers","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055951043","Smithers","POINT (-127.17021179199219 54.786964416503906)","2024-07-02"
"823f5f2f98d5d8744531","BC",59,20,"Province of British Columbia","244.0","Kyah Wiget Education Society","205 Beaver Rd Unit 2, Smithers","8297485","Witset Elementary & Secondary School","205 Beaver Rd Unit 2, Smithers","..","Smithers","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055949817","Moricetown 1","POINT (-127.33099365234375 55.02151870727539)","2024-07-02"
"14cee3ff48b19f1e35d6","BC",59,20,"Province of British Columbia","85","Vancouver Island North","PO Box 149, Sointula","8585001","A J Elliott Elementary","Sointula","..","Sointula","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055943037","Mount Waddington A","POINT (-127.01223754882812 50.6264533996582)","2024-07-02"
"31a1aba8653e911ce91c","BC",59,20,"Province of British Columbia","62","Sooke","PO Box 940, Sooke","6262034","Ecole Poirier Elementary","Sooke","..","Sooke","1","6","0","0","1","0","0","0","0","1","1","0","0","STANDARD","2021A00055917052","Sooke","POINT (-123.71896362304688 48.390724182128906)","2024-07-02"
"9151a6ec058cf049d1aa","BC",59,20,"Province of British Columbia","62","Sooke","PO Box 1010, Sooke","6262033","Edward Milne Community School","Sooke","..","Sooke","10","12","0","0","0","0","1","0","0","1","1","0","0","STANDARD","2021A00055917052","Sooke","POINT (-123.69676971435547 48.38862991333008)","2024-07-02"
"21d06dc75a681b4479fd","BC",59,20,"Province of British Columbia","62","Sooke","PO Box 790, Sooke","6262020","John Muir Elementary","Sooke","..","Sooke","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055917052","Sooke","POINT (-123.74932861328125 48.3707160949707)","2024-07-02"
"d091db8915af248f0a86","BC",59,20,"Province of British Columbia","62","Sooke","PO Box 100, Sooke","6262031","Journey Middle School","Sooke","..","Sooke","7","9","0","0","0","1","0","0","0","1","1","0","0","STANDARD","2021A00055917052","Sooke","POINT (-123.71700286865234 48.387516021728516)","2024-07-02"
"dbe0ff8c4713776e74c9","BC",59,20,"Province of British Columbia","62","Sooke","PO Box 820 STN Main, Sooke","6262012","Saseenos Elementary","STN Main, Sooke","..","Sooke","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055917052","Sooke","POINT (-123.68830871582031 48.387718200683594)","2024-07-02"
"7f0ba9afdebdf5393918","BC",59,20,"Province of British Columbia","62","Sooke","PO Box 70, Sooke","6262004","Sooke Elementary","Sooke","..","Sooke","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055917052","Sooke","POINT (-123.71592712402344 48.38027572631836)","2024-07-02"
"d96cd0159043fff4dd44","BC",59,71,"Employment and Social Development Canada","..","..","5449 Sooke Road, Sooke","APDU","Westcoast Adventure College","5449 Sooke Road","..","Sooke","..","..","0","0","0","0","0","1","0","0","0","0","0","Private Institution","2021A00055917052","Sooke","POINT (-123.6561929 48.39461293)","2024-08-09"
"3c5c9b5825d7694a476e","BC",59,20,"Province of British Columbia","83","North Okanagan-Shuswap","PO Box 220, Sorrento","8389029","Sorrento Elementary","Sorrento","..","Sorrento","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055939037","Columbia-Shuswap C","POINT (-119.47624969482422 50.87926483154297)","2024-07-02"
"c6bad6c2d6322a1d8c39","BC",59,20,"Province of British Columbia","8","Kootenay Lake","PO Box 99, South Slocan","807025","Mount Sentinel Secondary","South Slocan","..","South Slocan","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055903052","Central Kootenay H","POINT (-117.53730010986328 49.446380615234375)","2024-07-02"
"72e5179e91b84e801a1a","BC",59,20,"Province of British Columbia","8","Kootenay Lake","PO Box 99, South Slocan","899298","Sequoia Centre","South Slocan","..","South Slocan","10","12","0","0","0","0","1","0","0","0","0","0","0","ALTERNATE","2021A00055903052","Central Kootenay H","POINT (-117.55980682373047 49.450199127197266)","2024-07-02"
"1c833f01fde38d34f532","BC",59,20,"Province of British Columbia","5","Southeast Kootenay","PO Box 345, Sparwood","501010","Frank J Mitchell Elementary","Sparwood","..","Sparwood","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055901006","Sparwood","POINT (-114.892822265625 49.73615646362305)","2024-07-02"
"5c3fb92c3ed57a4c92f6","BC",59,20,"Province of British Columbia","5","Southeast Kootenay","PO Box 67, Sparwood","505035","Sparwood Secondary","Sparwood","..","Sparwood","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055901006","Sparwood","POINT (-114.89154815673828 49.73572540283203)","2024-07-02"
"522ba967b07baf9ba67a","BC",59,20,"Province of British Columbia","625.0","Coast Mountain Academy Society","3295 Mamquam Rd, Squamish","4896871","Coast Mountain Academy","3295 Mamquam Rd, Squamish","..","Squamish","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.09516143798828 49.73767852783203)","2024-07-02"
"2bd944527923fbb80ee3","BC",59,20,"Province of British Columbia","48","Sea to Sky","PO Box 1040 STN Main, Squamish","4848011","Ecole Squamish Elementary","STN Main, Squamish","..","Squamish","1","6","0","0","1","0","0","0","0","1","1","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.14945983886719 49.70471954345703)","2024-07-02"
"0863d8dd91552cdc6cfc","BC",59,20,"Province of British Columbia","48","Sea to Sky","PO Box 99 STN Main, Squamish","4848004","Howe Sound Secondary","STN Main, Squamish","..","Squamish","10","12","0","0","0","0","1","0","0","1","1","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.15087127685547 49.707000732421875)","2024-07-02"
"a8e83f942940434f8d89","BC",59,20,"Province of British Columbia","93","Conseil scolaire francophone","1150 Carson Place PO Box 159, Squamish","9348008","Les Aiglons","1150 Carson Place PO Box 159, Squamish","..","Squamish","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.14823913574219 49.70671081542969)","2024-07-02"
"fa12b6849730707a7e78","BC",59,20,"Province of British Columbia","720.0","Global Impact Education Corporation","3190 University Boulevard, Squamish","4896976","Phoenix Magnet Academy","3190 University Boulevard, Squamish","..","Squamish","7","9","0","0","0","1","0","0","0","0","0","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.10285186767578 49.7388801574707)","2024-07-02"
"b99d5f064d19f01100aa","BC",59,20,"Province of British Columbia","48","Sea to Sky","PO BOX 99, Squamish","4899215","Sea to Sky Alternative School","PO BOX 99, Squamish","..","Squamish","10","12","0","0","0","0","1","0","0","0","0","0","0","ALTERNATE","2021A00055931006","Squamish","POINT (-123.14286041259766 49.695064544677734)","2024-07-02"
"82535556d73327eb0aed","BC",59,20,"Province of British Columbia","718.0","Sea To Sky Montessori Society","1986 Birch Dr, Squamish","4896974","Sea to Sky Montessori School","1986 Birch Dr, Squamish","..","Squamish","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.12535095214844 49.70301818847656)","2024-07-02"
"1cc658521209515cbff4","BC",59,20,"Province of British Columbia","48","Sea to Sky","PO Box 640 STN Main, Squamish","4899147","Sea to Sky Online School","STN Main, Squamish","..","Squamish","10","12","0","0","0","0","1","0","0","0","0","0","0","DISTRICT DISTANCE ED","2021A00055931006","Squamish","POINT (-123.14286041259766 49.695064544677734)","2024-07-02"
