id_etablissement,nom_etablissement,nom_en,nom_translit,type_etablissement,statut_operateur,gouvernorat_region,district,sous_district,latitude,longitude,ville
way/1025649953,مدرسة,,mdrs@,École,,Sana'a City,Old City,Old City,,,
node/6029109279,مدرسة أحمد ياسين,,mdrs@ 'Hmd ysyn,École,,Sana'a City,Old City,Old City,15.3618957,44.2282468,
node/11392952369,مدارس مناهل الهداى,,mdrs mnhl lhd~,École,,Sana'a City,Shu'ub,Shu'ub,15.3679502,44.2281943,
node/13436370730,مدرسة الوشاح الأساسية للبنين,,mdrs@ lwshH l'ssy@ llbnyn,École,,Sana'a City,Shu'ub,Shu'ub,15.3678934,44.2109933,
node/4242721497,مدرسة سبأ الحكومية للبنين,shiba school for boys,shiba school for boys,École,,Sana'a City,Shu'ub,Shu'ub,15.3697951,44.2050393,
node/7294950957,مدرسة الفاروق,Madrasat al Faruq,Madrasat al Faruq,École,,Sana'a City,Shu'ub,Shu'ub,15.3743317,44.2119008,
node/13436435943,مدارس بابل,,mdrs bbl,École,,Sana'a City,Shu'ub,Shu'ub,15.3748905,44.2046338,
node/6937224454,المدرسة البيطرة,Al Madrasah al Baytarah,Al Madrasah al Baytarah,École,,Sana'a City,Shu'ub,Shu'ub,15.37674,44.208291,
node/8285674619,جامعة أقرأ للعلوم والتكنولوجيا,,jm`@ 'qr' ll`lwm wltknwlwjy,Université,,Sana'a City,Shu'ub,Shu'ub,15.3788363,44.2063029,
way/1024881854,مدرسة الرماح للبنات,,mdrs@ lrmH llbnt,École,,Sana'a City,Shu'ub,Shu'ub,,,
way/237754139,مدرسة زينب للبنات,,mdrs@ zynb llbnt,École,,Sana'a City,Shu'ub,Shu'ub,,,
node/13521156691,مدارس أرض الجنتين الأهلية,,mdrs 'rD ljntyn l'hly@,École,,Sana'a City,Shu'ub,Shu'ub,15.3793233,44.217436,
node/6937224389,معهد صنعاء,Ma`had San`a',Ma`had San`a',Collège / Institut,,Sana'a City,Shu'ub,Shu'ub,15.381174,44.219963,
way/1029070964,مدرسة حرمل,,mdrs@ Hrml,École,,Sana'a City,Shu'ub,Shu'ub,,,
way/89618738,مدرسة قتيبة بن مسلم النموذجية,,mdrs@ qtyb@ bn mslm lnmwdhjy@,École,,Sana'a City,Shu'ub,Shu'ub,,,
way/237754140,مدرسة علي بن أبي طالب للبنين,,mdrs@ `ly bn 'by Tlb llbnyn,École,,Sana'a City,Shu'ub,Shu'ub,,,
node/13436370759,مدارس سام الأهلية للبنين,,mdrs sm l'hly@ llbnyn,École,,Sana'a City,Shu'ub,Shu'ub,15.3691904,44.2210342,
way/237754294,مدرسة عمر المختار الثانوية,,mdrs@ `mr lmkhtr lthnwy@,École,,Sana'a City,Shu'ub,Shu'ub,,,
node/13455426545,مدارس بوابة العربي فرع البنات,,mdrs bwb@ l`rby fr` lbnt,École,,Sana'a City,Shu'ub,Shu'ub,15.3746358,44.2394087,
way/89618739,مدرسة 7 تموز,,mdrs@ 7 tmwz,École,,Sana'a City,Shu'ub,Shu'ub,,,
way/602874924,مدارس زايد,,mdrs zyd,École,,Sana'a City,Shu'ub,Shu'ub,,,
way/89619245,مدرسة عمر عبدالعزيز,,mdrs@ `mr `bdl`zyz,École,,Sana'a City,Shu'ub,Shu'ub,,,
way/602874925,مدارس التربوية الحديثة,,mdrs ltrbwy@ lHdyth@,École,,Sana'a City,Shu'ub,Shu'ub,,,
way/89618740,مدرسة اليرموك,,mdrs@ lyrmwk,École,,Sana'a City,Shu'ub,Shu'ub,,,
node/11959236366,كلية رواد النهضة للعلوم الطبية والتطبيقية - سعوان,,kly@ rwd lnhD@ ll`lwm lTby@ wltTbyqy@ - s`wn,Collège / Institut,,Sana'a City,Shu'ub,Shu'ub,15.3808387,44.2387554,مدينة صنعاء
node/13455426644,مدرسة النهضة الحديثة,,mdrs@ lnhD@ lHdyth@,École,,Sana'a City,Shu'ub,Shu'ub,15.3779241,44.2365387,
way/1039250281,مدرسة سنان حطروم,,mdrs@ snn HTrwm,École,,Sana'a City,Shu'ub,Shu'ub,,,
node/13455426537,مدرسة الفوارس,,mdrs@ lfwrs,École,,Sana'a City,Shu'ub,Shu'ub,15.376106,44.2410046,
node/8827018917,مدارس الأقصى,,mdrs l'qS~,École,,Sana'a City,Shu'ub,Shu'ub,15.3798007,44.2419503,
way/1027439265,مدرسة الشهيد عبدالله حنيش النموذجية للبنات,,mdrs@ lshhyd `bdllh Hnysh lnmwdhjy@ llbnt,École,,Sana'a,Bani Hushaysh,Sa'wan,,,مدينة صنعاء
node/12057758806,مدارس الأقصى الحديثة,,mdrs l'qS~ lHdyth@,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3827022,44.2438301,مدينة صنعاء
node/12057716745,مدارس التربوية الحديثة,,mdrs ltrbwy@ lHdyth@,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3817234,44.2439064,
node/12403304136,روضة قطر الندى,,rwD@ qTr lnd~,Jardin d'enfants,,Sana'a,Bani Hushaysh,Sa'wan,15.3725321,44.2444292,
node/12056891747,مدارس البناء التربوي,,mdrs lbn ltrbwy,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3724119,44.2457656,صنعاء
node/12403304125,معهد عالمية أنجل للعلوم الصحية,,m`hd `lmy@ 'njl ll`lwm lSHy@,Collège / Institut,,Sana'a,Bani Hushaysh,Sa'wan,15.3706545,44.2450861,صنعاء
node/12403304140,مدارس الرائد النموذجية - فرع البنات,,mdrs lry'd lnmwdhjy@ - fr` lbnt,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3706937,44.2432411,مدينة صنعاء
node/12056913076,مدارس الرائد النموذجية,,mdrs lry'd lnmwdhjy@,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3696215,44.2443866,صنعاء
node/13455426641,مدرسة فلذات أكبادنا,,mdrs@ fldht 'kbdn,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3652476,44.2516382,
way/601832042,مدرسة عمار بن ياسر,,mdrs@ `mr bn ysr,École,,Sana'a City,Azaal,Azaal,,,
node/8184132217,مدرسة عمار بن ياسر,,mdrs@ `mr bn ysr,École,,Sana'a City,Azaal,Azaal,15.3600943,44.2295759,
node/13455426450,مدارس السيادة الحديثة,,mdrs lsyd@ lHdyth@,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3846196,44.2537799,
node/5372932322,كلية المجتمع,Community College,Community College,Collège / Institut,,Sana'a,Bani Hushaysh,Sa'wan,15.4067847,44.2504525,
node/12403309186,مدارس البناء التربوي - فرع البنات,,mdrs lbn ltrbwy - fr` lbnt,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3861303,44.2453745,مدينة صنعاء
node/13455426495,مدرسة الشهيد إبراهيم الحمدي,,mdrs@ lshhyd brhym lHmdy,École,,Sana'a,Bani Hushaysh,Sa'wan,15.387379,44.2464441,
node/12403309189,مدارس شموس العلم الأهلية,,mdrs shmws l`lm l'hly@,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3886005,44.2440621,مدينة صنعاء
node/4365488589,مدرسه الراعي,Alrayee school,Alrayee school,École,,Sana'a,Bani Hushaysh,Sa'wan,15.3877449,44.2401991,
node/13455426527,مدارس آية الأهلية,,mdrs ay@ l'hly@,École,,Sana'a City,Shu'ub,Shu'ub,15.384074,44.2363791,
node/6059929636,مدرسة 14 أكتوبر,,mdrs@ 14 'ktwbr,École,,Sana'a City,Shu'ub,Shu'ub,15.3858091,44.2240402,
node/4701257490,مدرسة الشهيد الاحمر,,mdrs@ lshhyd lHmr,École,,Sana'a City,Shu'ub,Shu'ub,15.3898887,44.2161621,
way/602874923,مدارس الأمجاد الدولية,,mdrs l'mjd ldwly@,École,,Sana'a City,Shu'ub,Shu'ub,,,
node/13438580891,مدرسة العصرية,,mdrs@ l`Sry@,École,,Sana'a City,Shu'ub,Shu'ub,15.3837352,44.2055552,
