NOM_ETABLISSEMENT,NOM_ETABLISSEMENT_AR,ADRESSE,ADRESSE_AR,COMMUNE,PROVINCE,PROVINCE_AR,REGION,REGION_AR,TEL,FAX,TYPE,SOURCE
SS MOULAY ISMAIL,م.م مولاي اسماعيل,MUNICIPALITE EL GUERDANE SEBT EL GUERDANE,بلدية الكردان,El Guerdane (Mun.),Province: Taroudannt,إقليم تارودانت,Souss-Massa,سوس-ماسة,,,PUBLIC,MENPS 2023
ABDELLATIF SAYEGH,عبد اللطيف الصايغ,QUARTIER AL AMANE DIOUR ESSALAM 2 C MEKNES,حي الأمان ديور السلام,Meknès (Mun.),Préfecture: Meknès,عمالة مكناس,Fès-Meknès,فاس-مكناس,,,PUBLIC,MENPS 2023
ECOLE IBN BAJAH,مدرسة ابن باجة,QUARTIER ALMOUSTAQBAL   AIT MELLOUL,حي المستقبل ايت ملول,Ait Melloul (Mun.),Préfecture: Inezgane- Ait,عمالة إنزكان-آيت ملول,Souss-Massa,سوس-ماسة,,,PUBLIC,MENPS 2023
ECOLE IBN ANNAFISSE,مدرسة ابن النفيس,BD OMAR LKHIAM  DCHEIRA JIHADIA,شارع عمر الخيام الدشيرة,Dcheira El Jihadia (Mun.),Préfecture: Inezgane- Ait,عمالة إنزكان-آيت ملول,Souss-Massa,سوس-ماسة,,,PUBLIC,MENPS 2023
ECOLE IBNOU TOFAIL,مدرسة ابن طفيل,BEN GUERIR CENTRE COMMUNE BEN GUERIR,ابن جرير,Ben Guerir (Mun.),Province: Rehamna,إقليم الرحامنة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
ECOLE EL IMAME EL GHAZALI,مدرسة الإمام الغزالي,LAATAOUIA CENTRE EL KELAA DES SRAGHNA,العطاوية المركز قلعة السراغنة,Laattaouia (Mun.),Province: El Kelâa des  S,إقليم قلعة السراغنة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
ECOLE EL IMAME MALEK,مدرسة الإمام مالك,LAATAOUIA CENTRE EL KELAA DES SRAGHNA,العطاوية المركز قلعة السراغنة,Laattaouia (Mun.),Province: El Kelâa des  S,إقليم قلعة السراغنة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
CHAOUKI,شوقي,Widadiyate Assalam quartier Essaada municipalité K,ودادية السلام حي السعادة بلدية الخميسات ,Khémisset (Mun.),Province: Khémisset,إقليم الخميسات,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
HAY AL JADID,حي الجديد,HAY AL JADID MUNICIPALITE TIFLET,حي الجديد,Tiflet (Mun.),Province: Khémisset,إقليم الخميسات,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
HASSANE IBN TABITE,حسان بن ثابث,HAY ERRACHAD MUNICIPALITE TIFLET,حي الرشاد,Tiflet (Mun.),Province: Khémisset,إقليم الخميسات,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
HALIMA ASSAADIA,حليمة السعدية,HAY ENNAHDA MUNICIPALITE TIFLET,حي النهضة  بلدية   تيفلت     ,Tiflet (Mun.),Province: Khémisset,إقليم الخميسات,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
IHAROUNEN 2,اهارونن 2,DOUAR IGZANAYEN COMMUNE BNI BOUFRAH,دوار اكزناين جماعة بني بوفراح,Bni Boufrah,Province: Al Hoceima,إقليم الحسيمة,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
LAAZIB CHEKKARA,لعزيب اشقارة,DOUAR LAAZIB CHEKKARA COMMUNE ABDELGHAYA SOUAHEL,دوارلعزيب اشقارة جماعة عبد الغاية السواحل,Abdelghaya Souahel,Province: Al Hoceima,إقليم الحسيمة,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
TAREK IBNOU ZIAD,طارق بن زياد,CENTRE BNI YAKHLEF COMMUNE BNI YAKHLEF,مركز بني يخلف جماعة بني يخلف,Bni Yakhlef,Préfecture: Mohammadia,عمالة المحمدية,Grand Casablanca-Settat,الدار البيضاء-سطات,,,PUBLIC,MENPS 2023
ECOLE AL KHAOUARIZMI,مدرسة الخوارزمي,RUE ALI IBN ABI TALEB HAY AL ISTIQLAL,شارع علي بن أبي طالب حي الاستقلال,M'Diq (Mun.),Préfecture: M'Diq-Fnideq,عمالة مارتيل-الفنيدق,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
ECOLE OUYOUNE SAKIA AL HAMRA,مدرسة عيون الساقية الحمراء,ROUTE DE KSAR SGHIR HAY MARJA  FNIDEQ,طريق القصر الصغير حي المرجة الفنيدق,Fnideq (Mun.),Préfecture: M'Diq-Fnideq,عمالة مارتيل-الفنيدق,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
E ANNASSER,م.النصر,CENTRE OULAD BERHIL MUNICIPALITE OULAD BERHIL,مركز اولاد برحيل,Oulad Berhil (Mun.),Province: Taroudannt,إقليم تارودانت,Souss-Massa,سوس-ماسة,,,PUBLIC,MENPS 2023
E ARRAZI,م. الرازي,MUNICIPALITE OULED TEIMA QUARTIER CHRARDA,حي الشراردة لبدية اولاد تايمة,Oulad Teima (Mun.),Province: Taroudannt,إقليم تارودانت,Souss-Massa,سوس-ماسة,,,PUBLIC,MENPS 2023
NAZIHA,م نزيهة,HAY NAZHA1 FQUIH BEN SALAH,   حي نزهة1 الفقيه بن صالح,Fquih Ben Salah (Mun.),Province: Fquih Ben Salah,إقليم الفقيه بن صالح,Béni Mellal-Khénifra,بني ملال-خنيفرة,,,PUBLIC,MENPS 2023
OULED SIDI CHENNANE 2,م أولاد سيدي شنان 2,OULED sidi CHANNANE FQUIH BEN SALAH,بلدية الفقيه بن صالح,Fquih Ben Salah (Mun.),Province: Fquih Ben Salah,إقليم الفقيه بن صالح,Béni Mellal-Khénifra,بني ملال-خنيفرة,,,PUBLIC,MENPS 2023
EL MOUTANABBI,م المتنبي,HAY ZAYTOUNE BENI MELLAL, حي الزيتون بني ملال,Béni Mellal (Mun.),Province: Béni Mellal,إقليم بني ملال,Béni Mellal-Khénifra,بني ملال-خنيفرة,,,PUBLIC,MENPS 2023
TAHA HOUSSINE,م طه حسين,DAR JDIDA OULED HAMDANE BENI MELLAL,الدار الجديدة أولاد حمدان  بني ملال,Béni Mellal (Mun.),Province: Béni Mellal,إقليم بني ملال,Béni Mellal-Khénifra,بني ملال-خنيفرة,,,PUBLIC,MENPS 2023
ECOLE MAAMEL SOUK SEBT,مدرسة المعمل,L USINE DU SUCRE SOUK SEBT,بلدية سوق السبت,Souk Sebt Ouled Nemma (Mun.),Province: Fquih Ben Salah,إقليم الفقيه بن صالح,Béni Mellal-Khénifra,بني ملال-خنيفرة,,,PUBLIC,MENPS 2023
SS SAQIA  AL HAMRA INRAREN,م.م الساقية الحمراء-إنـرارن,DOUAR  INRAREN              COMMUNE  AQESRI,"دوار إنرارن - ج, أقصري",Aqesri,Préfecture: Agadir-Ida -O,عمالة أكادير-إداو أوتنان,Souss-Massa,سوس-ماسة,,,PUBLIC,MENPS 2023
SS OUELMSA,م/م ولمسة,DOUAR OUELMSACMTIOUACHEFCHAOUEN,دوار ولمسة جماعة متيوة,M'tioua,Province: Chefchaouen,إقليم شفشاون,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
SECTEUR SCOLAIRE TIZTOUTINE,مجموعة مدارس تيزطوطين,  tiztoutine centre,تزطوطين المركز,Tiztoutine,Province: Nador,إقليم الناظور,Oriental,الشرق,,,PUBLIC,MENPS 2023
ECOLE ESSAKALA,مدرسة الصقالة,ESSAKALA ESSAOUIRA,الصقالة الصويرة,Essaouira (Mun.),Province: Essaouira,إقليم الصويرة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
SS LAHRA,م/م لهرى,DOUAR LAHRA MANSOURA sofla commune mansoura,دوار لهرى المنصورة السفاى جماعة  المنصورة,Mansoura,Province: Chefchaouen,إقليم شفشاون,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
SS ZDEMTE,م/م زدمت,DOUAR ZDEMTE C BNI SMIH CHEFCHAOUEN,دوار زدمت جماعة بني سميح,Bni Smih,Province: Chefchaouen,إقليم شفشاون,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
SS DAR MNATE,م/م دار منات,DOUAR DARMNATE C BNI SALMANE CHEFCHAOUEN,دوار دار منات جماعة بني سلمان,Bni Selmane,Province: Chefchaouen,إقليم شفشاون,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
SS TAZAKHTE,م/م تازخت,DOUAR TAZAKHTECBNI SELMANECHEFCHAOUEN,دوار تازخت جماعة بني سلمان,Bni Selmane,Province: Chefchaouen,إقليم شفشاون,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
SS BOURD,م/م بورد,DOUAR BOURDCSTEHACHEFCHAOUEN,دوار بورد جماعة سطيحة,Steha,Province: Chefchaouen,إقليم شفشاون,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
