Total Enrolment in Mainstream National Schools by Standard (Incl. Special Classes),,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,County Description,Local Authority Description,DEIS (Y/N),Gaeltacht Indicator (Y/N),Ethos Description,Junior Infants,Senior Infants,First Class,Second Class,Third Class,Fourth Class,Fifth Class,Sixth Class,Special Class,Enrolment per Return
2024,17794L,S N AN PHAIRC,Cork,Cork County Council,N,N,Catholic,1,1,2,5,2,1,4,5,,21
2024,17796P,Our Lady's National School,Carlow,Carlow County Council,N,N,Catholic,1,5,,5,6,3,4,3,,27
2024,17799V,S N na hAille,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,19,15,15,13,13,11,12,13,10,121
2024,17800D,S N SEOSAMH NFA,Wexford,Wexford County Council,N,N,Catholic,27,25,34,28,25,33,33,22,,227
2024,17804L,S N Cnoc na Manach,Cork,Cork County Council,N,N,Catholic,12,10,9,15,9,10,13,12,11,101
2024,17806P,CILL CLEITHE N S,Westmeath,Westmeath County Council,N,N,Catholic,11,13,9,16,10,12,15,13,,99
2024,17807R,S N CATHAIR GEAL,Galway,Galway County Council,N,N,Catholic,14,20,13,18,15,6,16,11,,113
2024,17808T,ST MARY'S PRIMARY,Roscommon,Roscommon County Council,N,N,Catholic,19,16,16,17,12,7,15,16,12,130
2024,17810G,S N Nicolais Naofa,Wicklow,Wicklow County Council,N,N,Catholic,21,34,24,36,29,30,29,28,12,243
2024,17812K,ST MARYS N S,Wexford,Wexford County Council,N,N,Church Of Ireland,7,5,11,10,5,9,9,8,,64
2024,17814O,GEAROID UI GHRIOBHTHA,Limerick,Limerick County Council,N,N,Catholic,5,5,4,2,3,4,,10,,33
2024,17816S,COORACLARE B N S,Clare,Clare County Council,N,N,Catholic,5,6,12,11,8,14,7,12,,75
2024,17820J,BRIGHDE NAOFA,Dublin,Fingal County Council,N,N,Catholic,38,46,46,31,45,43,50,59,,358
2024,17821L,ST. MARY'S PRIMARY SCHOOL,Meath,Meath County Council,N,N,Catholic,55,56,59,74,75,63,80,77,17,556
2024,17822N,SCOIL BHRIGHDE,Donegal,Donegal County Council,Y,Y,Catholic,3,4,6,5,1,3,5,3,,30
2024,17823P,St. Abbey's National School,Cork,Cork County Council,N,N,Catholic,11,10,19,8,12,14,10,13,,97
2024,17826V,Scoil na Coróine Mhuire,Wicklow,Wicklow County Council,N,N,Catholic,35,29,34,41,33,43,51,50,1,317
2024,17827A,SCOIL PHADRAIG,Laois,Laois County Council,N,N,Catholic,43,66,69,63,74,66,79,87,16,563
2024,17828C,SCOIL ADHAMHNAIN,Donegal,Donegal County Council,Y,N,Catholic,20,22,24,24,18,13,14,21,6,162
2024,17829E,S N ATH AN MHUILLINN,Cork,Cork County Council,N,N,Catholic,11,8,3,11,11,11,7,13,,75
2024,17831O,GLEBE NS,Donegal,Donegal County Council,N,N,Church Of Ireland,13,14,19,14,12,15,18,16,,121
2024,17832Q,KILNABOY N S,Clare,Clare County Council,N,N,Catholic,10,6,9,10,14,6,13,15,,83
2024,17837D,SCOIL MHUIRE,Donegal,Donegal County Council,Y,N,Catholic,9,3,9,10,4,6,7,4,,52
2024,17838F,S N EOIN NAOFA,Sligo,Sligo County Council,N,N,Catholic,22,30,32,27,30,23,26,32,,222
2024,17839H,S N BHEINN NAOFA B,Meath,Meath County Council,Y,N,Catholic,30,43,40,46,40,47,50,41,6,343
2024,17840P,S N BHEININ NAOFA C,Meath,Meath County Council,Y,N,Catholic,33,45,44,41,38,39,51,39,12,342
2024,17841R,SN MHUIRE,Wexford,Wexford County Council,Y,N,Catholic,1,2,,,5,2,5,3,,18
2024,17845C,SCOIL MHUIRE,Galway,Galway City Council,N,N,Catholic,21,28,26,27,28,30,29,40,12,241
2024,17847G,S N AIBHISTIN NAOFA,Clare,Clare County Council,N,N,Catholic,3,3,5,3,2,1,4,6,,27
2024,17848I,S N MHUIRE,Cork,Cork County Council,N,N,Catholic,14,25,15,15,19,17,16,29,,150
2024,17849K,S N O DUBHLAIN,Roscommon,Roscommon County Council,N,N,Catholic,,3,,5,1,2,4,4,,19
2024,17850S,S N PHADRAIG NAOFA,Tipperary,Tipperary (Nr) County Council,Y,N,Catholic,18,13,10,7,7,6,10,,,71
2024,17854D,S N PADRAIG NAOFA,Kilkenny,Kilkenny County Council,N,N,Catholic,25,35,42,48,23,47,55,48,18,341
2024,17856H,S N DUN UABHAIR,Meath,Meath County Council,N,N,Catholic,18,13,25,24,19,27,25,26,12,189
2024,17857J,S N AINDREIS NAOFA,Meath,Meath County Council,N,N,Catholic,11,13,10,17,14,18,13,16,,112
2024,17858L,S N COILL AN IARAINN,Wexford,Wexford County Council,N,N,Catholic,30,32,26,25,24,25,26,25,,213
2024,17863E,SCOIL IARLATHA NAOFA,Galway,Galway County Council,N,N,Catholic,5,5,6,6,9,7,12,5,,55
2024,17867M,SCOIL IOGNAID DE RIS,Kilkenny,Kilkenny County Council,N,N,Catholic,40,26,,22,26,31,60,49,1,255
2024,17868O,SCOIL FREASTOGAIL MUIRE,Cork,Cork County Council,N,N,Catholic,36,35,35,18,27,10,37,28,30,256
2024,17869Q,S N CIARAIN NAOFA,Galway,Galway County Council,N,N,Catholic,5,5,6,4,10,9,10,13,4,66
2024,17870B,SCOIL BHREANDAIN NAOFA,Galway,Galway County Council,N,N,Catholic,11,9,4,3,9,4,7,9,,56
2024,17871D,SCOIL CILL CHURNAIN,Limerick,Limerick County Council,N,N,Catholic,18,26,19,18,25,20,28,16,,170
2024,17872F,ST CONLETHS AND MARYS N S,Kildare,Kildare County Council,N,N,Catholic,,,,44,65,59,95,70,12,345
2024,17873H,S N CONNLAODH NAOFA N,Kildare,Kildare County Council,N,N,Catholic,84,91,105,,,,,,11,291
2024,17874J,GLENCORRIB N S,Mayo,Mayo County Council,N,N,Catholic,6,13,6,9,,5,6,4,,49
2024,17877P,Scoil Mhuire Naofa,Galway,Galway County Council,N,N,Catholic,17,12,10,13,10,14,14,18,,108
2024,17881G,SCOIL UI CHONAILL BOYS SENIORS,Dublin,Dublin City Council,Y,N,Catholic,,,,23,26,35,32,28,11,155
2024,17882I,S N AODHA NAOFA,Westmeath,Westmeath County Council,N,N,Catholic,2,3,3,4,5,5,5,5,,32
2024,17883K,Scoil Mhuire Naofa Castlecuffe,Laois,Laois County Council,N,N,Catholic,2,5,9,5,4,8,10,10,,53
2024,17887S,S N NAOMH PADRAIG BOYS SENIOR SCHOOL,Cork,Cork County Council,N,N,Catholic,,,32,39,37,29,30,31,11,209
2024,17891J,SCOIL MHUIRE,Dublin,Fingal County Council,N,N,Catholic,12,9,16,21,24,28,26,30,,166
2024,17893N,SANCTA MARIA C B S,Dublin,Dublin City Council,Y,N,Catholic,18,8,12,13,8,10,16,10,6,101
2024,17899C,SCOIL CARMEL,Dublin,South Dublin County Council,N,N,Catholic,68,88,81,98,,,,,2,337
2024,17903N,Corr na Madadh N S,Westmeath,Westmeath County Council,Y,N,Multi Denominational,37,35,39,41,37,41,42,36,,308
2024,17904P,S N BRUSNA,Roscommon,Roscommon County Council,Y,N,Catholic,9,11,11,10,6,6,12,11,,76
2024,17905R,S N TOBAIR EOIN BAISDE,Kilkenny,Kilkenny County Council,N,N,Catholic,1,3,6,9,4,8,8,7,,46
2024,17907V,CROSSBRIDGE N S,Wicklow,Wicklow County Council,N,N,Catholic,6,5,6,4,10,6,7,5,,49
2024,17911M,COLMCILLE MIXED N S,Kilkenny,Kilkenny County Council,N,N,Catholic,4,1,3,,3,1,8,,,20
2024,17912O,S N EOIN BOSCO BUACH,Dublin,Dublin City Council,N,N,Catholic,,,,53,56,56,59,71,12,307
2024,17913Q,S N MHUIRE,Wexford,Wexford County Council,N,N,Catholic,50,39,38,45,31,44,56,31,,334
2024,17914S,ST OLIVER PLUNKETT,Dublin,Fingal County Council,N,N,Catholic,117,98,102,107,105,100,108,114,18,869
2024,17915U,FREASTOGAIL MHUIRE MXD,Kerry,Kerry County Council,Y,N,Catholic,8,2,4,7,7,4,6,7,12,57
2024,17919F,AIBHISTIN NAOFA,Galway,Galway County Council,N,N,Catholic,10,10,12,7,7,8,9,3,,66
2024,17920N,DONARD N S,Wicklow,Wicklow County Council,N,N,Catholic,32,21,19,26,19,22,25,15,,179
2024,17921P,S N Moing na Miol,Cork,Cork County Council,N,N,Catholic,17,9,12,9,12,21,17,29,,126
2024,17923T,S N BEAL AN MHUIRTHEAD,Mayo,Mayo County Council,Y,Y,Catholic,14,23,24,,,,,,,61
2024,17928G,SN N SAILBHEASTAR NFA,Dublin,Fingal County Council,N,N,Catholic,127,123,126,,,,,,,376
2024,17930Q,S N SEACHNAILL NAOFA,Meath,Meath County Council,N,N,Catholic,82,74,78,75,81,79,75,79,,623
2024,17931S,S N BRIGHDE,Kildare,Kildare County Council,Y,N,Catholic,11,5,7,7,11,6,8,6,,61
2024,17932U,ODHRAN NAOFA N S,Westmeath,Westmeath County Council,N,N,Catholic,13,13,10,12,12,11,12,8,,91
2024,17934B,SCOIL BHRIDE,Galway,Galway County Council,N,N,Catholic,12,9,18,13,11,13,7,13,11,107
2024,17936F,SN EOIN BAISDE BOYS SENIOR SCHOOL,Dublin,Dublin City Council,N,N,Catholic,,,,,81,79,79,79,,318
2024,17937H,SCOIL MOIN A LIN,Limerick,Limerick County Council,N,N,Catholic,84,98,111,111,100,110,112,117,4,847
2024,17940T,S N na mBuachailli,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,,,,26,28,27,29,31,,141
2024,17945G,SCOIL NAOMH CHAITRIONA,Donegal,Donegal County Council,Y,N,Catholic,8,13,9,12,7,9,11,13,,82
2024,17946I,SCOIL NAIS NAOMH AINE,Meath,Meath County Council,N,N,Catholic,,,2,,3,1,6,4,,16
2024,17947K,SCOIL NAOMH BRIDE,Meath,Meath County Council,N,N,Catholic,16,25,21,21,23,27,27,27,,187
2024,17950W,SHANAGARRY N S,Cork,Cork County Council,N,N,Catholic,16,18,15,9,13,14,15,16,,116
2024,17951B,SCOIL O CURAIN B,Limerick,Limerick County Council,Y,N,Catholic,33,32,21,25,28,32,25,32,21,249
2024,17952D,S N NAOMH FHIONAIN,Louth,Louth County Council,N,N,Catholic,10,13,10,11,8,10,10,14,10,96
2024,17953F,S N BHAILE EAMONN,Dublin,South Dublin County Council,N,N,Catholic,12,7,12,12,9,6,9,14,,81
2024,17954H,SCOIL CAOIMHIN NAOFA,Dublin,Dun Laoghaire Rathdown,N,N,Catholic,49,53,53,53,50,50,56,56,,420
2024,17955J,"Scoil Mhuire gan Smál, Clondulane",Cork,Cork County Council,N,N,Catholic,7,10,11,6,12,9,16,7,,78
2024,17956L,SCOIL CHOLMCILLE NAOFA,Donegal,Donegal County Council,Y,N,Catholic,2,,3,1,3,3,5,3,,20
2024,17957N,HOLY FAMILY JUNIOR SCHOOL,Clare,Clare County Council,Y,N,Catholic,64,56,61,4,,,,,,185
2024,17961E,S N LUSCA,Dublin,Fingal County Council,N,N,Catholic,,,,,98,95,115,108,,416
2024,17964K,S N MHUIRE NAOFA,Meath,Meath County Council,N,N,Catholic,9,10,11,9,9,12,10,11,,81
2024,17965M,S N BHRIDE,Louth,Louth County Council,N,N,Catholic,6,9,13,9,6,11,8,12,,74
2024,17968S,URSAILLE NAOFA,Kildare,Kildare County Council,N,N,Catholic,28,27,33,27,41,26,27,26,,235
2024,17969U,S N MHUIRE,Meath,Meath County Council,Y,N,Catholic,19,30,19,21,20,17,27,22,12,187
2024,17970F,OUR LADY OF MERCY CONVENT SCHOOL,Dublin,Dun Laoghaire Rathdown,N,N,Catholic,36,29,30,30,26,28,43,30,,252
2024,17972J,S N CILL MHUIRE B,Cork,Cork County Council,N,N,Catholic,16,22,21,13,14,26,15,26,11,164
2024,17976R,SCOIL ASSAIM BOYS SENIORS,Dublin,Dublin City Council,N,N,Catholic,,,,52,77,55,62,67,,313
2024,17977T,SCOIL AINE CONVENT SENIOR,Dublin,Dublin City Council,N,N,Catholic,,,,59,55,63,67,63,,307
2024,17978V,NAISCOIL IDE,Dublin,Dublin City Council,N,N,Catholic,102,102,103,,,,,,,307
2024,17979A,S N CNOC AINBHIL,Dublin,Dun Laoghaire Rathdown,N,N,Catholic,45,39,55,58,57,59,65,62,,440
2024,17980I,SCOIL MHUIRE,Galway,Galway County Council,N,N,Catholic,4,11,6,4,4,5,4,4,,42
2024,17981K,S N Gleann gCreabhar,Limerick,Limerick County Council,N,N,Catholic,7,7,8,6,7,5,7,11,1,59
2024,17986U,S N NMH SHEOSAMH,Meath,Meath County Council,N,N,Catholic,12,23,11,19,18,11,26,18,3,141
2024,17990L,S N DROM CNAMH,Cavan,Cavan County Council,N,N,Catholic,4,5,2,8,6,3,8,9,,45
2024,17991N,EOIN NAOFA N S,Westmeath,Westmeath County Council,Y,N,Catholic,13,12,12,15,15,17,6,14,,104
2024,17993R,SCOIL MHUIRE GAN SMAL B,Cork,Cork City Council,Y,N,Catholic,38,42,50,48,54,71,47,66,6,422
2024,17994T,S N FHOIRTCHEIRN/FHININ,Carlow,Carlow County Council,Y,N,Catholic,12,13,17,13,12,11,16,18,4,116
2024,17995V,S N OILIBHEAR PLUNGLEAD,Kildare,Kildare County Council,Y,N,Catholic,5,10,13,10,15,12,11,13,,89
2024,17996A,Glen na Smol N S,Dublin,South Dublin County Council,N,N,Catholic,4,7,5,5,11,6,6,13,,57
2024,17997C,ST MARYS N S GRANGE,Waterford,Waterford County Council,N,N,Catholic,9,12,7,5,5,7,7,8,,60
2024,18000W,Scoil Mhuire Naofa,Cork,Cork County Council,N,N,Catholic,27,53,37,48,37,60,59,62,28,411
2024,18001B,S N NAOMH LORCAN,Louth,Louth County Council,Y,N,Catholic,9,6,12,12,9,10,9,13,,80
2024,18002D,DRUMGALLAGH N S,Mayo,Mayo County Council,Y,N,Catholic,7,4,1,3,4,5,4,2,,30
2024,18003F,S N ATHRACHT NFA,Mayo,Mayo County Council,N,N,Catholic,31,29,29,31,21,27,28,28,30,254
2024,18005J,SCOIL MHUIRE GAN SMAL,Roscommon,Roscommon County Council,N,N,Catholic,1,2,1,4,,4,,3,,15
2024,18007N,S N OLIBHEAR PLUINCEID,Donegal,Donegal County Council,Y,Y,Catholic,8,7,5,12,2,13,6,11,,64
2024,18010C,Davidstown Primary School,Wexford,Wexford County Council,N,N,Catholic,12,15,6,12,12,8,20,9,,94
2024,18012G,S N CRUACHAIN,Roscommon,Roscommon County Council,N,N,Catholic,19,9,18,17,18,23,23,16,28,171
2024,18014K,Scoil an Chroi Ro Naofa,Laois,Laois County Council,Y,N,Catholic,4,,5,7,2,7,,5,,30
2024,18016O,S N COLUMBAIN,Meath,Meath County Council,Y,N,Catholic,31,25,32,24,20,36,38,34,12,252
2024,18018S,SCOIL BHRIDE N S,Kildare,Kildare County Council,N,N,Catholic,23,42,34,24,48,33,41,53,,298
2024,18019U,S N CHAOIMHIN NAOFA,Louth,Louth County Council,N,N,Catholic,21,16,16,17,18,19,21,14,,142
2024,18020F,S N AN GHARRAIN,Cork,Cork County Council,N,N,Catholic,2,8,4,8,5,7,3,6,,43
2024,18021H,S N an Croi Ro Naofa,Galway,Galway County Council,N,N,Catholic,22,21,27,26,25,26,29,26,6,208
2024,18023L,St. Brigid's National School Aughnafarcon,Monaghan,Monaghan County Council,N,N,Catholic,2,2,2,5,7,7,7,3,,35
2024,18024N,SCOIL MUIRE GAN SMAL,Carlow,Carlow County Council,N,N,Catholic,5,14,6,9,6,8,9,5,,62
2024,18027T,CLOONIQUIN N S,Roscommon,Roscommon County Council,N,N,Catholic,7,1,6,6,6,6,4,3,,39
2024,18028V,CORR A CHRAINN NATIONAL SCHOOL,Monaghan,Monaghan County Council,N,N,Catholic,17,31,32,27,17,22,29,32,6,213
2024,18029A,S N MUIRE GAN SMAL,Sligo,Sligo County Council,N,N,Catholic,16,13,10,10,8,11,11,8,,87
2024,18030I,SCOIL AILBHE,Limerick,Limerick County Council,N,N,Catholic,6,15,9,14,10,14,18,10,,96
2024,18031K,S N BRIDE,Kildare,Kildare County Council,Y,N,Catholic,6,6,4,4,6,9,6,4,,45
2024,18032M,S N CLUAIN MUINGE,Clare,Clare County Council,N,N,Catholic,25,23,29,25,28,26,24,21,,201
2024,18033O,KILCOMMON N S,Wicklow,Wicklow County Council,N,N,Church Of Ireland,16,10,9,7,15,7,15,8,,87
2024,18034Q,S N MHUIRE,Louth,Louth County Council,N,N,Catholic,16,10,10,12,16,9,12,12,,97
2024,18036U,DIARMADA N S,Westmeath,Westmeath County Council,N,N,Catholic,8,8,9,11,10,15,14,9,,84
2024,18037W,S N MHUIRE,Meath,Meath County Council,N,N,Catholic,6,7,12,15,11,11,13,8,,83
2024,18038B,ST MARGARETS N S,Dublin,Fingal County Council,N,N,Catholic,6,10,13,11,15,10,11,11,,87
2024,18039D,NA MINTEOGA N S,Kerry,Kerry County Council,N,N,Catholic,1,4,5,4,,2,4,2,,22
2024,18040L,S N NAOMH PADRAIG,Meath,Meath County Council,N,N,Catholic,25,22,33,28,33,36,32,34,,243
2024,18043R,S N MUIRE GAN SMAL,Galway,Galway County Council,N,N,Catholic,6,6,4,9,5,6,6,4,,46
2024,18044T,S N NAOMH PADRAIG,Meath,Meath County Council,N,N,Catholic,49,56,69,78,62,56,78,82,,530
2024,18045V,S N MUIRE GAN SMAL,Louth,Louth County Council,N,N,Catholic,19,20,21,25,24,31,27,33,12,212
2024,18046A,SCOIL BRIDE B,Dublin,Fingal County Council,N,N,Catholic,17,18,20,23,21,34,25,41,10,209
2024,18047C,SCOIL BRIDE C,Dublin,Fingal County Council,N,N,Catholic,24,23,19,25,24,32,39,39,6,231
2024,18048E,S N NAOMH DEAGLAN,Waterford,Waterford County Council,Y,N,Catholic,14,14,11,10,12,15,16,11,,103
2024,18049G,Scoil Mhuire na Mainistreach,Kerry,Kerry County Council,N,N,Catholic,,,,31,28,29,46,50,10,194
2024,18051Q,"COOLE N.S,",Meath,Meath County Council,N,N,Catholic,17,17,24,16,15,22,22,20,,153
2024,18052S,S N MUIRE GAN SMAL,Donegal,Donegal County Council,N,N,Catholic,59,60,60,60,60,60,60,60,,479
2024,18053U,SOOEY N S,Sligo,Sligo County Council,N,N,Catholic,8,13,10,14,9,18,16,17,,105
2024,18054W,HOLLYWOOD N S,Wicklow,Wicklow County Council,N,N,Catholic,11,20,17,13,16,11,24,17,,129
2024,18055B,S N MHUIRE,Kildare,Kildare County Council,N,N,Catholic,33,24,26,21,30,25,26,24,6,215
2024,18057F,SCOIL MHUIRE,Offaly,Offaly County Council,Y,N,Catholic,31,41,44,24,26,31,35,29,5,266
2024,18058H,SCOIL NAOMH SEOSAMH,Donegal,Donegal County Council,N,N,Catholic,4,1,2,2,3,5,3,5,,25
2024,18059J,BAILIEBORO N S,Cavan,Cavan County Council,Y,N,Catholic,32,35,32,33,29,26,39,32,31,289
2024,18061T,SCOIL MHUIRE,Roscommon,Roscommon County Council,N,N,Catholic,1,6,10,14,4,9,15,12,,71
2024,18062V,S N AN GRAINSEACH,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,14,9,11,23,19,19,23,27,12,157
2024,18063A,S N NAOMH LORCAIN,Kildare,Kildare County Council,N,N,Catholic,2,3,6,5,5,5,9,11,,46
2024,18064C,S N MUIRE,Kilkenny,Kilkenny County Council,N,N,Catholic,25,16,19,28,24,25,24,30,8,199
2024,18068K,S N PEADAR AGUS POL,Offaly,Offaly County Council,N,N,Catholic,,1,2,,1,5,2,5,,16
2024,18069M,NAOMH SEOSAMH,Louth,Louth County Council,N,N,Catholic,27,33,34,36,32,30,49,54,,295
2024,18076J,SCOIL NÁISIÚNTA MUIRE GAN SMÁL,Donegal,Donegal County Council,Y,N,Catholic,18,18,15,16,16,13,10,14,,120
2024,18077L,S N CNOC MACHAN,Waterford,Waterford County Council,Y,N,Catholic,1,4,1,1,1,3,2,2,,15
2024,18078N,SCOIL BHRIDE B7C,Kilkenny,Kilkenny County Council,N,N,Catholic,27,23,20,28,19,29,39,26,,211
2024,18080A,SCOIL MHUIRE MXD,Dublin,Fingal County Council,N,N,Catholic,30,44,46,36,37,57,51,61,,362
2024,18082E,S N DUMHACH,Mayo,Mayo County Council,Y,N,Catholic,1,1,1,6,3,4,10,3,,29
2024,18084I,SCOIL MHUIRE GAN SMAL,Kerry,Kerry County Council,Y,N,Catholic,,,,,,1,,,,1
2024,18085K,BALLYNEALE N S,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,9,10,7,13,7,9,14,11,,80
2024,18086M,DUNFANAGHY N S,Donegal,Donegal County Council,Y,N,Church Of Ireland,8,2,2,4,1,4,1,5,,27
2024,18087O,S N ODHRAN NAOFA,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,6,7,11,6,6,11,4,6,,57
2024,18089S,SCOIL NAOMH MHUIRE,Galway,Galway County Council,N,N,Catholic,23,26,31,30,22,31,40,27,,230
2024,18090D,S N CILL DAMHAIN,Carlow,Carlow County Council,N,N,Catholic,9,12,13,13,12,12,8,14,,93
2024,18092H,S N BAILE MHIC ADAIM,Kildare,Kildare County Council,N,N,Catholic,14,11,10,9,13,12,14,8,,91
2024,18093J,S N CLOCH RINNCE,Kildare,Kildare County Council,N,N,Catholic,9,15,17,16,10,23,23,16,12,141
2024,18094L,S N Dun na Mainistreach,Waterford,Waterford County Council,N,N,Catholic,49,57,59,60,63,66,65,63,,482
2024,18096P,S N COILL DUBH,Kildare,Kildare County Council,N,N,Catholic,12,15,24,21,18,22,22,26,18,178
2024,18097R,TOGALA MHUIRE,Galway,Galway County Council,N,N,Catholic,26,23,26,26,25,22,21,27,,196
2024,18099V,S N Mhuire na Trocaire,Louth,Louth County Council,N,N,Catholic,43,45,42,29,33,29,62,31,,314
2024,18101F,S N MUIRE,Louth,Louth County Council,N,N,Catholic,21,20,24,24,22,24,20,22,,177
2024,18106P,S N na Trionoide Naofa,Meath,Meath County Council,N,N,Catholic,24,24,28,36,28,40,30,35,,245
2024,18108T,WHITECHURCH N S CEAPACH,Waterford,Waterford County Council,N,N,Catholic,21,7,13,11,9,15,5,16,,97
2024,18109V,S N INIS CEALTRACH,Clare,Clare County Council,N,N,Catholic,9,10,5,14,9,7,7,10,,71
2024,18111I,S N Gort na Gaoithe,Galway,Galway County Council,N,N,Catholic,4,8,9,6,7,5,10,8,,57
2024,18112K,SCOIL NAOMH EANNA,Galway,Galway County Council,N,N,Catholic,27,28,27,31,17,27,25,31,6,219
2024,18114O,S N NAOMH EIGHNEACH,Donegal,Donegal County Council,Y,N,Catholic,10,8,10,8,7,10,14,13,,80
2024,18115Q,S N MHUIRE,Offaly,Offaly County Council,N,N,Catholic,7,11,21,15,22,16,14,17,6,129
2024,18116S,Cloontuskert National School,Roscommon,Roscommon County Council,Y,N,Catholic,18,13,12,6,9,8,5,4,,75
2024,18118W,COOLFANCY N S,Wicklow,Wicklow County Council,N,N,Catholic,13,9,7,10,14,6,6,15,,80
2024,18120J,SCOIL MHUIRE,Donegal,Donegal County Council,Y,Y,Catholic,13,9,5,8,4,10,5,7,,61
2024,18121L,S N MHUIRE,Galway,Galway County Council,Y,Y,Catholic,8,5,11,5,10,8,6,9,,62
2024,18125T,SCOIL NAOMH MHUIRE,Galway,Galway County Council,N,N,Catholic,21,23,28,19,20,22,25,18,,176
2024,18126V,S N SAN NIOCLAS,Louth,Louth County Council,N,N,Catholic,6,10,9,9,9,11,9,10,,73
2024,18127A,SN MHUIRE BOYS SENIOR SCHOOL,Cavan,Cavan County Council,N,N,Catholic,,,,14,16,13,17,16,,76
2024,18128C,S N MHUIRE MXD,Cork,Cork County Council,N,N,Catholic,13,10,10,10,8,4,12,6,,73
2024,18129E,SCOIL NAOMH PEADAR,Donegal,Donegal County Council,N,N,Catholic,7,16,10,20,15,13,15,4,7,107
2024,18130M,ST PATRICKS NS,Kildare,Kildare County Council,N,N,Catholic,7,10,8,14,11,13,15,14,,92
2024,18131O,S N MUIRE GAN SMAL,Donegal,Donegal County Council,Y,N,Catholic,14,7,15,11,10,4,18,10,,89
2024,18132Q,S N MUIRE,Meath,Meath County Council,N,N,Catholic,17,17,21,18,21,24,19,14,12,163
2024,18133S,FIONNTAIN NFA N S,Wexford,Wexford County Council,N,N,Catholic,15,10,10,14,13,11,27,13,,113
2024,18135W,SCOIL ANGELA,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,20,36,28,26,30,24,32,30,,226
2024,18137D,S N Naomh Feargal Boys Senior,Dublin,Dublin City Council,Y,N,Catholic,,,,23,29,40,35,28,12,167
2024,18139H,S N NAOMH PADRAIG,Leitrim,Leitrim County Council,Y,N,Catholic,2,,3,2,1,4,,3,,15
2024,18142T,SCOIL CNOC LOINGE B,Limerick,Limerick County Council,Y,N,Catholic,11,3,8,10,7,12,15,6,,72
2024,18145C,SN NMH TREASA,Mayo,Mayo County Council,Y,N,Catholic,11,2,11,11,1,6,5,2,,49
2024,18148I,SCOIL BHRIDE MIXED N S,Louth,Louth County Council,N,N,Catholic,22,24,21,19,34,21,30,32,5,208
2024,18150S,FRAOCH MOR N S,Laois,Laois County Council,N,N,Catholic,25,24,23,27,26,28,30,31,,214
2024,18151U,S N MHUIRE,Donegal,Donegal County Council,Y,N,Catholic,23,28,29,28,31,31,20,23,6,219
2024,18153B,S N PADRAIG NAOFA C,Cork,Cork City Council,Y,N,Catholic,,,17,28,18,23,24,24,,134
2024,18154D,S N PADRAIG NAOFA,Cork,Cork City Council,Y,N,Catholic,40,44,,,,,,,9,93
2024,18157J,ST RYNAGHS N S,Offaly,Offaly County Council,N,N,Catholic,29,25,33,33,39,30,29,33,,251
2024,18158L,S N SEAMUS NAOFA,Kilkenny,Kilkenny County Council,N,N,Catholic,6,13,7,17,8,13,11,14,,89
2024,18161A,CASTLECONNELL N S,Limerick,Limerick County Council,N,N,Catholic,35,26,30,27,30,29,32,30,,239
2024,18163E,SN N BREANDAIN,Galway,Galway County Council,N,Y,Catholic,16,18,12,20,16,19,14,22,,137
2024,18164G,S N BUIRGHEAS,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,6,12,15,12,12,10,8,7,,82
2024,18165I,TISRARA NATIONAL SCHOOL,Roscommon,Roscommon County Council,Y,N,Catholic,4,10,7,6,8,8,7,1,,51
2024,18166K,CLUAIN EIDHNEACH N S,Laois,Laois County Council,N,N,Church Of Ireland,8,6,9,11,6,13,7,15,12,87
2024,18167M,S N AINE NFA SEAFIELD,Waterford,Waterford County Council,N,N,Catholic,5,7,8,9,6,8,14,13,,70
2024,18169Q,S N RATH RIAGAIN,Meath,Meath County Council,N,N,Catholic,14,4,12,13,12,14,7,14,,90
2024,18170B,S N Muire na Freastogala Girls Senior School,Dublin,Dublin City Council,N,N,Catholic,,,,,56,48,56,64,5,229
2024,18172F,GLENEELY N S,Donegal,Donegal County Council,Y,N,Catholic,7,8,3,6,7,5,5,7,,48
2024,18173H,S N BRIOTAS,Dublin,South Dublin County Council,N,N,Catholic,9,7,13,11,8,12,9,8,,77
2024,18174J,S N CAITRIONA NAOFA,Meath,Meath County Council,N,Y,Catholic,24,19,20,17,10,27,17,19,,153
2024,18177P,SCOIL AINE NAOFA,Limerick,Limerick County Council,Y,N,Catholic,35,32,50,20,18,20,17,22,10,224
2024,18178R,ST JOSEPHS CONVENT,Longford,Longford County Council,Y,N,Catholic,82,77,89,53,45,49,60,57,29,541
2024,18179T,S N BRIDE,Kildare,Kildare County Council,N,N,Catholic,8,12,10,13,12,22,16,13,,106
2024,18181G,St. Hugh's N.S.,Leitrim,Leitrim County Council,Y,N,Catholic,9,4,4,8,6,7,7,11,,56
2024,18182I,NAOMH ATRACHTA,Roscommon,Roscommon County Council,N,N,Catholic,5,5,1,5,2,6,5,4,,33
