Total Enrolment in Mainstream National Schools by Standard (Incl. Special Classes),,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,County Description,Local Authority Description,DEIS (Y/N),Gaeltacht Indicator (Y/N),Ethos Description,Junior Infants,Senior Infants,First Class,Second Class,Third Class,Fourth Class,Fifth Class,Sixth Class,Special Class,Enrolment per Return
2024,12476S,SLIEVERUE MIXED N S,Kilkenny,Kilkenny County Council,N,N,Catholic,28,17,28,28,23,28,30,30,,212
2024,12488C,GILSON NATIONAL SCHOOL,Meath,Meath County Council,Y,N,Catholic,20,29,30,29,28,27,36,28,,227
2024,12502Q,S N EANNA,Galway,Galway County Council,Y,N,Catholic,2,3,2,3,3,4,1,3,,21
2024,12505W,KILBARRY N S,Cork,Cork County Council,N,N,Catholic,5,6,4,5,1,8,4,5,,38
2024,12529N,ST SAVIOURS N S,Wicklow,Wicklow County Council,N,N,Church Of Ireland,11,15,14,16,17,16,13,18,4,124
2024,12535I,S N URSULA NAOFA,Waterford,Waterford City Council,Y,N,Catholic,63,72,73,74,74,81,86,104,,627
2024,12537M,CARN N S,Sligo,Sligo County Council,N,N,Catholic,10,17,19,13,13,16,17,14,,119
2024,12540B,CLONMORE N S,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,12,13,14,12,14,10,12,10,,97
2024,12554M,St Patrick's National School,Wicklow,Wicklow County Council,N,N,Church Of Ireland,46,51,48,47,52,56,46,55,6,407
2024,12568A,SN INBHEAR,Mayo,Mayo County Council,Y,Y,Catholic,6,7,12,4,8,13,9,9,,68
2024,12569C,S N ROS DUMHACH,Mayo,Mayo County Council,Y,Y,Catholic,5,2,4,2,3,,4,5,,25
2024,12574S,LURGA N S,Galway,Galway County Council,N,N,Catholic,8,14,13,13,14,8,12,11,,93
2024,12587E,COOLARD MXD N S,Kerry,Kerry County Council,N,N,Catholic,9,6,9,14,11,8,15,18,,90
