,name,struct,addr,lat,lon
17593,Муниципальное образовательное учреждение Ясенецкая средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606117, Нижегородская область, Павловский район, деревня Ясенцы, улица Школьная, дом 17",55.96215,43.21519
17594,Муниципальное образовательное учреждение средняя общеобразовательная школа № 1 город Ворсма,(Муниципальное образовательное учреждение),"606121, Нижегородская область, Павловский район, город Ворсма, улица Гагарина, дом 9",55.98785,43.25738
17595,Муниципальное образовательное учреждение средняя общеобразовательная школа № 2 город Ворсма,(Муниципальное образовательное учреждение),"606120, Нижегородская область, Павловский район, город Ворсма, улица Строителей, дом 10",55.98899,43.26688
17596,Муниципальное образовательное учреждение начальная общеобразовательная школа город Ворсма,(Муниципальное образовательное учреждение),"606121, Нижегородская область, Павловский район, город Ворсма, улица Центральная, дом 24",55.96312,43.20992
17597,Муниципальное образовательное учреждение средняя общеобразовательная школа № 1 село Тумботино,(Муниципальное образовательное учреждение),"606131, Нижегородская область, Павловский район, район, ный поселок Тумботино, улица Пушкина, дом 1",55.98848,43.00959
17598,Муниципальное образовательное учреждение Ветлужская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606701, Нижегородская область, Краснобаковский район, район, ный поселок Ветлужский, улица Школьная, дом 53",57.17491,45.11271
17599,Муниципальное образовательное учреждение Шеманихинская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606570, Нижегородская область, Краснобаковский район, поселок Шеманиха, улица Чапаева, дом 1",57.12441,45.15128
17600,Муниципальное образовательное учреждение Носовская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606715, Нижегородская область, Краснобаковский район, село Носовая, улица Заречная, дом 102",57.23648,45.58415
17601,Муниципальное образовательное учреждение Кирилловская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606714, Нижегородская область, Краснобаковский район, село Кириллово, улица Молодежная, дом 19",57.1696,45.1369
17602,Муниципальное образовательное учреждение Козловская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"606719, Нижегородская область, Краснобаковский район, деревня Козлово",56.96079,45.14331
17603,Муниципальное образовательное учреждение Румянцевская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"606308, Нижегородская область, Дальнеконстантиновский район, село Румянцево, улица Центральная, дом 30",55.92773,44.13695
17604,Муниципальное образовательное учреждение Суроватихинская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606310, Нижегородская область, Дальнеконстантиновский район, деревня Константиново, дом 5",55.80371,44.08707
17605,Муниципальное образовательное учреждение Румстихинская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606320, Нижегородская область, Дальнеконстантиновский район, Сарлейский сельсовет, село Румстиха",55.70875,43.98188
17606,Муниципальное образовательное учреждение Ветлужская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"606701, Нижегородская область, Краснобаковский район, район, ный поселок Ветлужский-2, улица Мичурина, дом13",57.12257,45.15726
17607,Муниципальное образовательное учреждение Помринская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"606317, Нижегородская область, Дальнеконстантиновский район, село Помра, улица Молодежная, дом 23",55.94074,44.24972
17608,Муниципальное образовательное учреждение начальная общеобразовательная школа № 52,(Муниципальное образовательное учреждение),"606093, Нижегородская область, Володарский район, поселок Ильиногорск, улица Угарова, дом 8",56.22912,42.95693
17609,Муниципальное образовательное учреждение Михайловская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606272, Нижегородская область, Воротынский район, село Михайловское, улица Юбилейная, дом 9",56.0554,45.85146
17610,Муниципальное образовательное учреждение Семьянская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606267, Нижегородская область, Воротынский район, село Семьяны",56.03281,45.98343
17611,Муниципальное образовательное учреждение Фокинская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606250, Нижегородская область, Воротынский район, село Фокино, улица Ветеранов, дом 59",56.16447,45.82552
17612,Муниципальное образовательное учреждение Чугуновская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606277, Нижегородская область, Воротынский район, село Чугуны, улица Школьная, дом 1",56.06077,45.86976
17613,Муниципальное образовательное учреждение Серебрянская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607004, Нижегородская область, Кулебакский район, село Серебрянка",55.23627,42.72227
17614,Муниципальное образовательное учреждение Шилокшанская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607002, Нижегородская область, Кулебакский район, село Шилокша",55.40602,42.70529
