place_id,name,longitude,latitude,country,country_code,state,county,city,district,street,formatted
5154aae91fa9f753405904ac55bba6a24240f00102f9019295525000000000920315e5928ce794b0e58ebfe7acace4b889e5b08fe5ada6,和田县第三小学,79.86969755000001,37.27071325,China,cn,Xinjiang,Hotan County,Baihe,,昆仑路,"和田县第三小学, 昆仑路, Hotan County, 848000 Xinjiang, China"
519670fa66f2f65340595519f9652c974240f00102f9014dbee63800000000920312e68b89e696afe5a58ee99587e4b8ade5ada6,拉斯奎镇中学,79.8585450597478,37.181042429571484,China,cn,Xinjiang,,Hotan City,,S316,"拉斯奎镇中学, S316, Xinjiang, China"
51ea980de61af9534059a95e11a313904240f00102f90161f4c84e0000000092031be5928ce794b0e5b882e882b2e6898de69599e882b2e59bade58cba,和田市育才教育园区,79.89226676299918,37.125599273187,China,cn,Xinjiang,,Hotan City,Nurbagh Subdistrict,Beijing West Road,"和田市育才教育园区, Beijing West Road, Nurbagh, Xinjiang, China"
5192031b7c06f953405997676f3a13904240f00103f901abd70bd90200000092031be5928ce794b0e5b882e7acace4b889e9ab98e7baa7e4b8ade5ada6,和田市第三高级中学,79.8910208,37.1255868,China,cn,Xinjiang,,Hotan City,Nurbagh Subdistrict,Beijing West Road,"和田市第三高级中学, Beijing West Road, Nurbagh, Xinjiang, China"
518be4863a87fa53405986f766e5a8914240f00103f9018dd70bd902000000920315e5928ce794b0e5b882e7acace4ba94e4b8ade5ada6,和田市第五中学,79.9145037,37.1379668,China,cn,Xinjiang,,Hotan City,Narbagh Subdistrict,G315,"和田市第五中学, G315, Narbagh Subdistrict, Xinjiang, China"
5122d723e906f9534059e5d789ef11934240f00102f9017ff4c84e00000000920321e5928ce794b0e5b882e4b8ade7ad89e8818ce4b89ae68a80e69cafe5ada6e6a0a1,和田市中等职业技术学校,79.89104679584537,37.148984854036634,China,cn,Xinjiang,Hotan County,Hotan,,G315,"和田市中等职业技术学校, G315, Hotan County, 848000 Xinjiang, China"
51ac0fdcd167fe534059e625fb265d8f4240f00102f901802a72410000000092032ae5928ce794b0e5b882e69c9de998b3e69599e882b2e59bade58cbaefbc88e9ab98e4b8ade983a8efbc89,和田市朝阳教育园区（高中部）,79.97508665552476,37.12003028166855,China,cn,Xinjiang,,Hotan City,,G580,"和田市朝阳教育园区（高中部）, G580, Xinjiang, China"
5197c192b508fb534059d16b1bbbaa8d4240f00102f901d3e6545200000000920324e5928ce794b0e5b882e7acace4b880e5b08fe5ada6efbc88e58d97e6a0a1e58cbaefbc89,和田市第一小学（南校区）,79.92240657169019,37.10677279318737,China,cn,Xinjiang,,Hotan City,Gulbagh Subdistrict,Jianshe Road,"Hotan No.1 Primary School (South Campus), Jianshe Road, Gulbagh Subdistrict, Xinjiang, China"
519ca258c6b6fb534059e5dcf401b18a4240f00102f901c67b3d2100000000920318e5928ce794b0e59cb0e58cbae7acace4ba8ce4b8ade5ada6,和田地区第二中学,79.93303068786412,37.08352684456057,China,cn,Xinjiang,,Hotan City,Gujanbagh Subdistrict,古江南路,"和田地区第二中学, 古江南路, Gujanbagh Subdistrict, Xinjiang, China"
514e880dd438e85340598808ae73d28e4240f00102f9015c5758400000000092031be5a2a8e78e89e58ebfe4b8ade7ad89e8818ce4b89ae5ada6e6a0a1,墨玉县中等职业学校,79.62846852609184,37.11579748151513,China,cn,Xinjiang,,Qaraqash County,,Tuhe Expressway,"墨玉县中等职业学校, Tuhe Expressway, Xinjiang, China"
