Ville,District,Nom_Ecole,Type_Ecole,Statut,Adresse,Telephone
ADANA,CEYHAN,Şadiye Mustafa Caf Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Sağkaya Çok Programlı Anadolu Lisesi,Lise,Public,,
ADANA,CEYHAN,Sağkaya İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Sağkaya Şehit Eren Öztürk Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Sakarya İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Sakarya Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Sakine Garipoğlu İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Sarıbahçe İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Sarısakal İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Sarısakal Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Şehit Adnan Sürücü Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Şehit Ertan Sevim Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Şehit Fehmi Koç İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Şehit Hüseyin Birimen Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Şehit İsa Çiçek İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Şehit Süleyman Çakır Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Şehit Zeynep Sağır Anadolu Lisesi,Lise,Public,,
ADANA,CEYHAN,Şerife Topal Anaokulu,Anaokulu,Public,,
ADANA,CEYHAN,Soysallı Şehit Eren Çelik İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Tekfen Vakfı Özel Eğitim Uygulama Merkezi I. Kademe,Diğer,Public,,
ADANA,CEYHAN,TEKFEN VAKFI ÖZEL EĞİTİM UYGULAMA OKULU II. KADEME,Diğer,Public,,
ADANA,CEYHAN,Toktamış İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Toros Tarım Anadolu Lisesi,Lise,Public,,
