X,Y,OBJECTID,PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
-122.54587375,37.9071890540001,12400,A1700399,NORTH BRIDGE ACADEMY,17 BUENA VISTA AVE,MILL VALLEY,CA,94941,06,041,Marin County,21,37.907194,-122.545887,41860,"San Francisco-Oakland-Fremont, CA",1,488,"San Jose-San Francisco-Oakland, CA",0602,06012,06002,2023-2024
-121.870347925,37.272925059,12401,A1700406,ONE WORLD MONTESSORI SCHOOL,3635 PEARL AVE,SAN JOSE,CA,95136,06,085,Santa Clara County,11,37.27293,-121.870361,41940,"San Jose-Sunnyvale-Santa Clara, CA",1,488,"San Jose-San Francisco-Oakland, CA",0619,06028,06015,2023-2024
-117.123879002,34.06467508,12402,A1700407,ORANGE GROVE ACADEMY,31187 MOSS ST,MENTONE,CA,92359,06,071,San Bernardino County,21,34.06468,-117.123891,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",0633,06045,06019,2023-2024
-118.302366818,33.865976168,12403,A1700414,PACIFIC LUTHERAN JUNIOR SENIOR HIGH SCHOOL,1473 W 182ND ST,GARDENA,CA,90248,06,037,Los Angeles County,13,33.865981,-118.302379,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",0643,06066,06024,2023-2024
-117.710426937,33.616223163,12404,A1700421,PATHWAY SCHOOL INC.,23802 AVENIDA DE LA CARLOTA,LAGUNA HILLS,CA,92653,06,059,Orange County,21,33.616228,-117.710439,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",0640,06072,06038,2023-2024
-122.407867786,37.7811350540001,12405,A1700433,PROOF SCHOOL,973 MISSION ST,SAN FRANCISCO,CA,94103,06,075,San Francisco County,11,37.78114,-122.407881,41860,"San Francisco-Oakland-Fremont, CA",1,488,"San Jose-San Francisco-Oakland, CA",0611,06017,06011,2023-2024
-121.170537849,38.8316348750001,12406,A1700437,LOOMIS GATEWAY ACADEMY,3268 PENRYN RD STE 200,LOOMIS,CA,95650,06,061,Placer County,21,38.83164,-121.170551,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",0603,06005,06006,2023-2024
-118.842315702,34.194633163,12407,A1700442,REVO ACADEMY,1250 ERBES RD,THOUSAND OAKS,CA,91362,06,111,Ventura County,12,34.194638,-118.842328,37100,"Oxnard-Thousand Oaks-Ventura, CA",1,348,"Los Angeles-Long Beach, CA",0626,06042,06027,2023-2024
-118.019894847,34.0996991260001,12408,A1700444,RIO HONDO PREPARATORY,5150 FARNA AVE,ARCADIA,CA,91066,06,037,Los Angeles County,13,34.099704,-118.019907,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",0628,06049,06025,2023-2024
-119.800128525,34.4344191930001,12409,A1700455,ST THERESE CLASSICAL ACADEMY,5073 HOLLISTER AVE,SANTA BARBARA,CA,93111,06,083,Santa Barbara County,22,34.434424,-119.800141,42200,"Santa Maria-Santa Barbara, CA",1,N,N,0624,06037,06021,2023-2024
-118.773762707,34.2661571510001,12410,A1700515,ST ROSE OF LIMA ELEMENTARY,1325 ROYAL AVE,SIMI VALLEY,CA,93065,06,111,Ventura County,22,34.266162,-118.773775,37100,"Oxnard-Thousand Oaks-Ventura, CA",1,348,"Los Angeles-Long Beach, CA",0626,06042,06027,2023-2024
-122.089552842,37.705788038,12411,A1700522,ONE SCHOOL GLOBAL-SAN FRANCISCO CAMPUS,19234 LAKE CHABOT RD,CASTRO VALLEY,CA,94546,06,001,Alameda County,21,37.705793,-122.089566,41860,"San Francisco-Oakland-Fremont, CA",1,488,"San Jose-San Francisco-Oakland, CA",0614,06020,06009,2023-2024
-118.638888747,34.0457651670001,12412,A1700535,SYCAMORE SCHOOL,3504 LAS FLORES CANYON RD,MALIBU,CA,90265,06,037,Los Angeles County,41,34.04577,-118.638901,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",0632,06042,06024,2023-2024
-118.380213787,34.0903631480001,12413,A1700556,TREE ACADEMY,8628 HOLLOWAY DR,WEST HOLLYWOOD,CA,90069,06,037,Los Angeles County,21,34.090368,-118.380226,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",0630,06051,06024,2023-2024
-119.339688426,36.298964975,12414,A1700568,VISALIA MONTESSORI SCHOOL,3502 S LINWOOD ST,VISALIA,CA,93277,06,107,Tulare County,12,36.29897,-119.339701,47300,"Visalia, CA",1,N,N,0620,06032,06012,2023-2024
-118.428828786,34.00066516,12415,A1700586,WILDWOOD SCHOOL,12201 WASHINGTON PL,LOS ANGELES,CA,90066,06,037,Los Angeles County,21,34.00067,-118.428841,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",0636,06055,06028,2023-2024
-105.202300804,40.0630935510001,12416,A1700599,BOULDER COUNTRY DAY SCHOOL,4820 NAUTILUS CT N,BOULDER,CO,80301,08,013,Boulder County,12,40.0631,-105.202311,14500,"Boulder, CO",1,216,"Denver-Aurora-Greeley, CO",0802,08010,08018,2023-2024
-104.704551057,38.8542936860001,12417,A1700623,SHINING STARS LEARNING CENTER,6650 OMAHA BLVD,COLORADO SPRINGS,CO,80915,08,041,El Paso County,21,38.8543,-104.704561,17820,"Colorado Springs, CO",1,N,N,0805,08015,08011,2023-2024
-104.744721105,38.3171537650001,12418,A1700625,SOARING EAGLES CENTER FOR AUTISM,125 W PALMER LAKE DR,PUEBLO WEST,CO,81007,08,101,Pueblo County,31,38.31716,-104.744731,39380,"Pueblo, CO",1,444,"Pueblo-Cañon City, CO",0803,08047,08003,2023-2024
-104.819921027,38.88216369,12419,A1700626,SPRINGS BAPTIST ACADEMY,3500 N NEVADA AVE,COLORADO SPRINGS,CO,80907,08,041,El Paso County,11,38.88217,-104.819931,17820,"Colorado Springs, CO",1,N,N,0805,08016,08010,2023-2024
-104.855821029,38.790233705,12420,A1700629,ST PAUL CATHOLIC SCHOOL,1601 MESA AVE,COLORADO SPRINGS,CO,80906,08,041,El Paso County,11,38.79024,-104.855831,17820,"Colorado Springs, CO",1,N,N,0805,08018,08012,2023-2024
-72.5321899639999,41.763541489,12421,A1700633,ADELBROOK ACADEMY MANCHESTER,42 PROSPECT ST,MANCHESTER,CT,06040,09,110,Capitol Planning Region,21,41.76355,-72.532191,25540,"Hartford-West Hartford-East Hartford, CT",1,405,"New Haven-Hartford-Waterbury, CT",0901,09009,09004,2023-2024
-73.548677676,41.078580656,12422,A1700656,THE PINNACLE SCHOOL,201 HIGH RIDGE RD,STAMFORD,CT,06905,09,190,Western Connecticut Planning Region,12,41.078589,-73.548679,14860,"Bridgeport-Stamford-Danbury, CT",1,408,"New York-Newark, NY-NJ-CT-PA",0904,09144,09027,2023-2024
-75.606359168,38.6241522180001,12423,A1700666,CHILD CRAFT COMPANY,26396 SEAFORD RD,SEAFORD,DE,19973,10,005,Sussex County,32,38.62416,-75.606361,42580,"Seaford, DE",2,N,N,1000,10039,10021,2023-2024
-75.5330731609999,39.14474211,12424,A1700670,DOVER FIRST CHRISTIAN SCHOOL,655 WYOMING AVE,DOVER,DE,19904,10,001,Kent County,13,39.14475,-75.533075,20100,"Dover, DE",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",1000,10031,10017,2023-2024
-75.5544491589999,39.0696721260001,12425,A1700673,HIGH ROAD SCHOOL OF DELAWARE,7012 S DUPONT HWY UNIT 3,FELTON,DE,19943,10,001,Kent County,41,39.06968,-75.554451,20100,"Dover, DE",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",1000,10034,10016,2023-2024
-75.6186461629999,38.646064214,12426,A1700679,THE CROSS CHRISTIAN ACADEMY,110 HOLLY ST,SEAFORD,DE,19973,10,005,Sussex County,32,38.646072,-75.618648,42580,"Seaford, DE",2,N,N,1000,10039,10021,2023-2024
-76.99313972,38.8829802160001,12427,A1700683,TEMPLETON ACADEMY,921 PENNSYLVANIA AVE SE,WASHINGTON,DC,20003,11,001,District of Columbia,11,38.882988,-76.993142,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1198,N,11006,2023-2024
-80.204618311,25.9437652710001,12428,A1700699,A PERFECT PLACE 4 KIDZ,18425 NW 2ND AVE STE 112,MIAMI GARDENS,FL,33169,12,086,Miami-Dade County,21,25.94377,-80.204621,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1224,12107,12034,2023-2024
-80.301798286,25.841425299,12429,A1700702,ABC DAYCARE AND PRESCHOOL,990 W 22ND ST,HIALEAH,FL,33010,12,086,Miami-Dade County,21,25.84143,-80.301801,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1226,12112,12039,2023-2024
-81.7406967859999,28.5670066600001,12430,A1700704,ABELS ACADEMY,350 ACCEPTANCE WAY,CLERMONT,FL,34711,12,069,Lake County,21,28.567012,-81.7407,36740,"Orlando-Kissimmee-Sanford, FL",1,422,"Orlando-Lakeland-Deltona, FL",1211,12025,12013,2023-2024
-80.209234314,25.8281673010001,12431,A1700713,MCDONALDS PLAYWORLD COMMUNITY DEVELOPMENT INC DBA,740 NW 58TH ST,MIAMI,FL,33127,12,086,Miami-Dade County,11,25.828172,-80.209237,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1224,12109,12034,2023-2024
-82.498037606,27.3502949740001,12432,A1700718,ACHIEVEMENT CENTER OF SARASOTA THE,1201 N BENEVA RD,SARASOTA,FL,34232,12,115,Sarasota County,13,27.3503,-82.498041,35840,"North Port-Bradenton-Sarasota, FL",1,412,"North Port-Bradenton, FL",1217,12073,12022,2023-2024
-82.721487526,27.8277048640001,12433,A1700720,ACRES OF FUN CHILD CARE CENTER INC.,6262 62ND AVE N,PINELLAS PARK,FL,33781,12,103,Pinellas County,13,27.82771,-82.721491,45300,"Tampa-St. Petersburg-Clearwater, FL",1,N,N,1213,12061,12018,2023-2024
-84.2709709809999,30.580005262,12434,A1700722,ACTS ACADEMY,8005 OAK GROVE RD,TALLAHASSEE,FL,32312,12,073,Leon County,12,30.580011,-84.270975,45220,"Tallahassee, FL",1,533,"Tallahassee-Bainbridge, FL-GA",1202,12009,12003,2023-2024
-81.798877787,28.012344796,12435,A1700729,ALL SAINTS ACADEMY,5001 STATE ROAD 540 W,WINTER HAVEN,FL,33880,12,105,Polk County,21,28.01235,-81.798881,29460,"Lakeland-Winter Haven, FL",1,422,"Orlando-Lakeland-Deltona, FL",1218,12049,12012,2023-2024
-80.187959318,25.8891172840001,12436,A1700733,AMAZING LEARNING ACADEMY,516-540 NE 124 ST,MIAMI,FL,33161,12,086,Miami-Dade County,21,25.889122,-80.187962,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1224,12108,12034,2023-2024
-80.15424732,26.1698762130001,12437,A1700736,AMERIBELGE CENTER FOR EDUCATION,3400 NW 9TH AVE STE D,OAKLAND PARK,FL,33309,12,011,Broward County,21,26.169881,-80.15425,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1223,12098,12032,2023-2024
-80.309343283,25.865271293,12438,A1700737,AMERICA'S CHRISTIAN FUTURE PRESCHOOL ELEMENTARY,1306 W 49TH ST,HIALEAH,FL,33012,12,086,Miami-Dade County,21,25.865276,-80.309346,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1226,12112,12039,2023-2024
-80.241182296,26.127663225,12439,A1700740,AMERICAN HIGH SCHOOL LLC,499 NW 70TH AVE,PLANTATION,FL,33324,12,011,Broward County,21,26.127668,-80.241185,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1220,12099,12032,2023-2024
