codigo_escola_dgeec,nome_escola,municipio,distrito,nuts_III,nuts_II,source_donnees,total_alunos_2022_23,alunos_1ano_2022_23,alunos_2ano_2022_23,alunos_3ano_2022_23,alunos_4ano_2022_23,taxa_retencao_media_2022_23,alunos_2ciclo_2019_2020_5ano,alunos_2ciclo_2019_2020_6ano,alunos_2ciclo_2020_2021_5ano,alunos_2ciclo_2020_2021_6ano,alunos_2ciclo_2021_2022_5ano,alunos_2ciclo_2021_2022_6ano,alunos_2ciclo_2022_2023_5ano,alunos_2ciclo_2022_2023_6ano,pct_2ciclo_homens,pct_2ciclo_mulheres,total_alunos_2ciclo,retencao_2ciclo_5ano_2022_23,retencao_2ciclo_6ano_2022_23,conclusao_2ciclo_n_amostra,conclusao_2ciclo_pct_escola,conclusao_2ciclo_pct_nat_comparable
1504880,"Escola Básica Padre Abílio Mendes, Barreiro",Barreiro,,,,2eme_cycle_uniquement,,,,,,,138,126,139,137,113,146,101,115,0.53,0.47,216,0.05999999865889549,0.029999999329447746,104,0.9519230769230769,0.9541054534090926
1504890,Escola Básica n.º 8 do Barreiro,Barreiro,,,,1er_cycle_uniquement,161.0,40.0,40.0,28.0,53.0,0.0375,,,,,,,,,,,,,,,,
1504901,"Escola Básica da Cidade Sol, Santo António da Charneca, Barreiro",Barreiro,,,,1er_cycle_uniquement,145.0,52.0,30.0,36.0,27.0,0.0425,,,,,,,,,,,,,,,,
1504921,Escola Básica do Barreiro,Barreiro,,,,1er_cycle_uniquement,120.0,24.0,23.0,25.0,48.0,0.005,,,,,,,,,,,,,,,,
1504994,"Escola Básica de Coina, Barreiro",Barreiro,,,,1er_cycle_uniquement,78.0,16.0,19.0,22.0,21.0,0.0,,,,,,,,,,,,,,,,
1505033,"Escola Básica de Ameiras de Cima, Grândola",Grândola,,,,1er_cycle_uniquement,34.0,10.0,6.0,6.0,12.0,0.0425,,,,,,,,,,,,,,,,
1505097,"Escola Básica de Água Derramada, Grândola",Grândola,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1505126,Escola Básica de Grândola,Grândola,,,,1er_cycle_uniquement,339.0,83.0,96.0,77.0,83.0,0.0275,,,,,,,,,,,,,,,,
1505207,"Escola Básica D. Jorge de Lencastre, Grândola",Grândola,,,,2eme_cycle_uniquement,,,,,,,130,159,117,135,138,125,129,146,0.43999999999999995,0.56,275,0.05999999865889549,0.03999999910593033,132,0.9772727272727273,0.954341205866304
1505265,"Escola Básica de Aldeia Nova de São Lourenço, Grândola",Grândola,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
