NatEmis,OldNATEMIS,NewNATEMIS,DataYear,Quarter,Province,Institution_Name,DoE_Status,Sector,Type_DoE,Phase_PED,Specialisation,OwnerLand,OwnerBuild,ExDept,ExamNo,ExamCentre,PaypointNo,ComponentNo,GIS_Long,GIS_Lat,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,SP_Code,SP_Name,EIDistrict,EICircuit,Township_Village,Suburb,Town_City,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,Learners_2023,Educators_2023
500289969,0,500289969,2023,3. Q3,5. KwaZulu Natal,Unobhala High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,2. Independent/Private,1. Public/State,12. Kwazulu Natal Education Department,5311141,5311141,,200146,30.572,-29.631,21. DC22,21. uMgungundlovu District Municipality,97. KZN226,97. Mkhambathini Local Municipality,52206003,51205003,Nkanyezini,Umgungundlovu,,,Near Lion Park,,2. No,99. None,3. Middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,738,19
500290006,0,500290006,2023,3. Q3,5. KwaZulu Natal,Untunjambili Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,270160,30.944,-28.939,28. DC29,28. Ilembe District Municipality,126. KZN294,126. Maphumulo Local Municipality,52904001,54608008,Ntunjambili,Ilembe,,,Untunjambili,,2. No,99. None,2. Lower middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,829,21
500290043,0,500290043,2023,3. Q3,5. KwaZulu Natal,Uphande Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,380213,32.103,-27.5,26. DC27,26. uMkhanyakude District Municipality,115. KZN272,115. Jozini Local Municipality,52702002,52704007,Waterloo,Umkhanyakude,,,Ubombo Magisterial Distric,,2. No,99. None,1. Poorest 20% (No fee paying),1. Yes,14. Umkhanyakude,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,262,8
500290080,0,500290080,2023,3. Q3,5. KwaZulu Natal,Uphaphazi Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,77777,,,230103,32.139,-28.397,26. DC27,26. uMkhanyakude District Municipality,116. KZN275,116. Mtubatuba Local Municipality,52705008,53505018,Nkatha,Umkhanyakude,,,Mtubatuba,,2. No,99. None,2. Lower middle 20% (No fee paying),1. Yes,14. Umkhanyakude,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,1557,40
500290117,0,500290117,2023,3. Q3,5. KwaZulu Natal,Uphindo High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,5113233,5113233,,250085,31.642,-28.958,27. DC28,27. King Cetshwayo District Municipality,120. KZN284,120. uMlalazi Local Municipality,52804020,54022009,Nguqu,King Cetshwayo,,,,,2. No,99. None,3. Middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,334,10
500290154,0,500290154,2023,3. Q3,5. KwaZulu Natal,Uphiso Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,180148,30.805,-29.616,5. ETH,5. eThekwini Metropolitan Municipality,87. ETH,87. eThekwini Metropolitan Municipality,59500002,57251001,Amatata,Pinetown,,,Ndwedwe,,2. No,99. None,3. Middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,295,9
500290191,0,500290191,2023,3. Q3,5. KwaZulu Natal,Upper Mhlathuze Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,340175,31.009,-28.461,27. DC28,27. King Cetshwayo District Municipality,122. KZN286,122. Nkandla Local Municipality,52806001,54202002,Gada,King Cetshwayo,,,Chwezi Area,,2. No,99. None,2. Lower middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,179,7
500290265,0,500290265,2023,3. Q3,5. KwaZulu Natal,Uqweqwe High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,3. Tribal/Land Trust,1. Public/State,12. Kwazulu Natal Education Department,5112153,5112153,,280146,30.804,-28.12,25. DC26,25. Zululand District Municipality,111. KZN263,111. AbaQulusi Local Municipality,52603014,52906012,Loss,Zululand,,,Hlahlindlela Traditional Council,,2. No,99. None,1. Poorest 20% (No fee paying),1. Yes,17. Zululand,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,262,10
500290302,0,500290302,2023,3. Q3,5. KwaZulu Natal,Busekhaya Secondary School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,3. Tribal/Land Trust,1. Public/State,,5112103,5112103,,280007,30.761,-28.044,25. DC26,25. Zululand District Municipality,111. KZN263,111. AbaQulusi Local Municipality,52603014,52906003,Emdudubezini,Zululand,,,Emdundubezini,,2. No,99. None,2. Lower middle 20% (No fee paying),1. Yes,17. Zululand,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,57,8
500290339,0,500290339,2023,3. Q3,5. KwaZulu Natal,Usizo High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,5212235,5212235,,29104,30.523,-28.681,23. DC24,23. uMzinyathi District Municipality,104. KZN244,104. Msinga Local Municipality,52404016,52202003,Gxobanyawo,Umzinyathi,,,Msinga Top,,2. No,99. None,1. Poorest 20% (No fee paying),1. Yes,16. Umzinyathi,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,216,5
