Calendar Year;ACARA SML ID;Location AGE ID;School AGE ID;School Name;Suburb;State;Postcode;School Sector;School Type;Campus Type;Rolled Reporting Description;Two years before Year 1 Offered;Two years before Year 1 Enrolments;One year before Year 1 Offered;One year before Year 1 Enrolments;Year 1 Offered;Year 1 Enrolments;Year 2 Offered;Year 2 Enrolments;Year 3 Offered;Year 3 Enrolments;Year 4 Offered;Year 4 Enrolments;Year 5 Offered;Year 5 Enrolments;Year 6 Offered;Year 6 Enrolments;Year 7 Offered;Year 7 Enrolments;Year 8 Offered;Year 8 Enrolments;Year 9 Offered;Year 9 Enrolments;Year 10 Offered;Year 10 Enrolments;Year 11 Offered;Year 11 Enrolments;Year 12 Offered;Year 12 Enrolments;Primary Ungraded Offered;Primary Ungraded Enrolments;Secondary Ungraded Offered;Secondary Ungraded Enrolments;Total Enrolments
2025;45221;55518;15518;Rangeview Primary School;Mitcham;VIC;3132;Government;Primary;School Single Entity;Individual Reporting;0;;1;79;1;94;1;94;1;103;1;100;1;121;1;98;0;;0;;0;;0;;0;;0;;0;;0;;689
2025;45222;50018;10018;Edenhope College;Edenhope;VIC;3318;Government;Combined;School Single Entity;Individual Reporting;0;;1;3;1;15;1;7;1;7;1;5;1;6;1;7;1;14;1;16;1;7;1;15;1;14;1;12;0;;0;;128
2025;45223;54789;14789;Murrayville Community College;Murrayville;VIC;3512;Government;Combined;School Single Entity;Individual Reporting;0;;1;3;1;4;1;3;1;6;1;4;1;2;1;2;1;3;1;9;1;9;1;10;1;6;1;5;0;;0;;66
2025;45224;49898;9898;Hawkesdale P12 College;Hawkesdale;VIC;3287;Government;Combined;School Single Entity;Individual Reporting;0;;1;8;1;7;1;7;1;7;1;5;1;9;1;15;1;19;1;31;1;18;1;15;1;17;1;16;0;;0;;174
2025;45225;49232;9232;Carwatha College P-12;Noble Park;VIC;3174;Government;Combined;School Single Entity;Individual Reporting;0;;1;22;1;33;1;28;1;29;1;47;1;36;1;40;1;70;1;61;1;72;1;85;1;93;1;65;0;;0;;681
2025;45226;48916;8916;Glen Waverley South Primary School;Glen Waverley;VIC;3150;Government;Primary;School Single Entity;Individual Reporting;0;;1;29;1;27;1;43;1;47;1;43;1;56;1;55;0;;0;;0;;0;;0;;0;;0;;0;;300
2025;45227;48123;8123;Streeton Primary School;Yallambie;VIC;3085;Government;Primary;School Single Entity;Individual Reporting;0;;1;15;1;22;1;19;1;27;1;20;1;20;1;21;0;;0;;0;;0;;0;;0;;0;;0;;144
2025;45228;55455;15455;Woorinen District Primary School;Woorinen South;VIC;3588;Government;Primary;School Single Entity;Individual Reporting;0;;1;11;1;6;1;10;1;7;1;15;1;12;1;14;0;;0;;0;;0;;0;;0;;0;;0;;75
2025;45229;65795;25795;Woady Yaloak Primary School;Smythesdale;VIC;3351;Government;Primary;School Head Campus;Rolled Reporting;0;;1;42;1;46;1;44;1;40;1;51;1;53;1;50;0;;0;;0;;0;;0;;0;;0;;0;;326
2025;45233;48496;8496;Millwarra Primary School;Millgrove;VIC;3799;Government;Primary;School Head Campus;Rolled Reporting;0;;1;3;1;6;1;7;1;6;1;5;1;11;1;9;0;;0;;0;;0;;0;;0;;0;;0;;47
2025;45235;52083;12083;Gormandale And District Primary School;Gormandale;VIC;3873;Government;Primary;School Single Entity;Individual Reporting;0;;1;4;1;9;1;7;1;6;1;9;1;8;1;5;0;;0;;0;;0;;0;;0;;0;;0;;48
2025;45236;55633;15633;Roxburgh Homestead Primary School;Roxburgh Park;VIC;3064;Government;Primary;School Single Entity;Individual Reporting;0;;1;32;1;43;1;42;1;52;1;54;1;55;1;56;0;;0;;0;;0;;0;;0;;0;;0;;334
2025;45237;49573;9573;Newcomb Primary School;Newcomb;VIC;3219;Government;Primary;School Single Entity;Individual Reporting;0;;1;27;1;29;1;15;1;17;1;15;1;17;1;22;0;;0;;0;;0;;0;;0;;0;;0;;142
2025;45238;47547;7547;Dinjerra Primary School;Braybrook;VIC;3019;Government;Primary;School Single Entity;Individual Reporting;0;;1;32;1;43;1;28;1;32;1;25;1;29;1;28;0;;0;;0;;0;;0;;0;;0;;0;;217
2025;45239;48245;8245;Belle Vue Park Primary School;Glenroy;VIC;3046;Government;Primary;School Single Entity;Individual Reporting;0;;1;17;1;30;1;27;1;21;1;19;1;19;1;26;0;;0;;0;;0;;0;;0;;0;;0;;159
2025;45240;48261;8261;Doncaster Gardens Primary School;Doncaster East;VIC;3109;Government;Primary;School Single Entity;Individual Reporting;0;;1;103;1;76;1;98;1;125;1;113;1;148;1;122;0;;0;;0;;0;;0;;0;;0;;0;;785
2025;45241;51422;11422;Nyah District Primary School;Nyah West;VIC;3595;Government;Primary;School Single Entity;Individual Reporting;0;;1;8;1;2;1;4;1;9;1;7;1;7;1;5;0;;0;;0;;0;;0;;0;;0;;0;;42
2025;45242;58030;18030;Strathaird Primary School;Narre Warren South;VIC;3805;Government;Primary;School Single Entity;Individual Reporting;0;;1;108;1;113;1;86;1;132;1;122;1;100;1;100;0;;0;;0;;0;;0;;0;;0;;0;;761
2025;45243;57173;17173;Marnebek School;Cranbourne East;VIC;3977;Government;Special;School Head Campus;Rolled Reporting;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;272;1;210;482
2025;45244;48442;8442;Great Ryrie Primary School;Heathmont;VIC;3135;Government;Primary;School Single Entity;Individual Reporting;0;;1;89;1;81;1;103;1;84;1;73;1;50;1;86;0;;0;;0;;0;;0;;0;;0;;0;;566
