nom,nature,section,type_ecole,niveau,type_eleves,curriculum,langue,nationalite,municipalite,zone,quartier,frais,nb_eleves,latitude,longitude
روضة جيل المستقبل,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.17896686,51.59242301
روضة زهور المستقبل الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.1494659,51.59251073
روضة سفير الدولية,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.15462995,51.58165796
مدرسة الجيل القادم الخاصة – الوكرة,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,اعدادي + ثانوي,,المنهج البريطاني,,,بلدية الوكرة,90,الوكرة,,,25.19080417,51.59543438
روضة الجيل القادم الخاصة - فرع المشاف,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الوكرة,91,الوكير,,,25.16457654,51.53448393
روضة باك شمعه - فرع المشاف,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,روضة,,المنهج البريطاني,,,بلدية الوكرة,91,المشاف,,,25.17502345,51.57840577
مدرسة ألفا كمبردج,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الوكرة,91,المشاف,,,25.18536024,51.56367083
مدرسة باك شمعة الخاصة - المشاف,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,جميع المراحل,,المنهج البريطاني,,,بلدية الوكرة,91,المشاف,,,25.17476979,51.57343711
مدرسة بيتا كمبرج,privée,Les écoles internationales,مدرسة تطبّق المناهج الدولية,ابتدائي,,المنهج البريطاني,,,بلدية الوكرة,92,مسيعيد 92,,,25.00458504,51.54249451
مدرسة السلم الثانية,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ابتدائي + اعدادي + ثانوي,,,,,بلدية الدوحه,17,الرفاع,,,25.28445001,51.54182562
روضة قطر الحديثة الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ابتدائي,,,,,بلدية الدوحه,31,ام لخبا,,,25.34517076,51.47698712
مدرسة الفتاة المسلمة الإعدادية الخاصة للبنات,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,اعدادي,,,,,بلدية الدوحه,31,ام لخبا,,,25.34517076,51.47698712
روضة الجيل الجديد الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الدوحه,39,السد 39,,,25.27697811,51.48913918
روضة النور الخاصة للغات – النعيجة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الدوحه,41,نعيجة 41,,,25.26190437,51.5327459
مدرسة الفلاح الخاصة الابتدائية للبنين,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ابتدائي,,,,,بلدية الدوحه,41,نعيجة 41,,,25.25523738,51.52898805
روضة السلام الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الدوحه,43,المعمورة 43,,,25.25346024,51.49689395
روضة الياسمين الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الريان,52,اللقطة,,,25.31742913,51.46541753
روضة نيسب الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الريان,52,لبديع,,,25.31315393,51.45587152
مدرسة افاق الابتدائية الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ابتدائي,,,,,بلدية الريان,52,اللقطة,,,25.31675992,51.46441792
مدرسة الفرقان الإعدادية الخاصة للبنين,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,اعدادي,,,,,بلدية الريان,52,اللقطة,,,25.31558713,51.46365011
مدرسة الفرقان الابتدائية الخاصة للبنين,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ابتدائي,,,,,بلدية الريان,52,اللقطة,,,25.31676039,51.46355298
مدرسة الفرقان الثانوية الخاصة للبنين,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ثانوي,,,,,بلدية الريان,52,اللقطة,,,25.31558713,51.46365011
روضة الزهراء الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الريان,53,الريان الجديد,,,25.28408984,51.4107493
روضة الفيصل الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الريان,53,معيذر 53,,,25.26721786,51.42141349
مدرسة الريان الخاصة بنين - بنات,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,جميع المراحل,,,,,بلدية الريان,53,الريان الجديد,,,25.29460069,51.44263935
مدرسة المجتمع الابتدائية الإعدادية الثانوية الخاصة للبنات,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ابتدائي + اعدادي + ثانوي,,,,,بلدية الريان,54,بعيا,,,25.27414745,51.43963845
روضة النور الخاصة للغات - الوعب,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الريان,55,الوعب,,,25.2523746,51.46735288
مدرسة النور الخاصة للغات,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ابتدائي + اعدادي,,,,,بلدية الريان,55,الوعب,,,25.2523746,51.46735288
روضة بيت الجدة والمرح,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الريان,56,ام السنيم,,,25.21319293,51.45546459
مدرسة التمكن الشاملة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,جميع المراحل,,,,,بلدية الريان,56,عين خالد,,,25.21753495,51.44532083
روضة النعمان الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الدوحه,67,حزم المرخية,,,25.3363699,51.48455178
روضة الخزامى الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الدوحه,68,جليعة,,,25.355483,51.4943457
الأندلس الاعدادية بنين,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,اعدادي,,,,,بلدية الظعاين,70,المسروحية,,,25.45943261,51.46525219
الأندلس الثانوية الخاصة للبنين,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ثانوي,,,,,بلدية الظعاين,70,المسروحية,,,25.45943261,51.46525219
روضة البشائر الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ابتدائي,,,,,بلدية الظعاين,70,المسروحية,,,25.45943261,51.46525219
مدرسة الأندلس الخاصة للبنات,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية ام صلال,71,ام عبيرية,,,25.48239918,51.38362281
مدرسة السلم الخامسة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,ابتدائي + اعدادي + ثانوي,,,,,بلدية ام صلال,71,بو فسيلة,,,25.45136249,51.40775302
روضة الخزامى الخاصة - فرع الخور,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الخور و الذخيرة,74,الخور,,,25.68242539,51.48544476
روضة الرسالة الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الخور و الذخيرة,74,الخور,,,25.67037987,51.49592391
روضة براعم الخور الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الخور و الذخيرة,74,الخور,,,25.68084004,51.48823439
روضة دانة الشمال الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الشمال,79,الرويس,,,26.13513806,51.2192779
روضة البستان الخاصة,privée,"école privées, programme quatari",مدرسة تطبّق المنهج القطري,روضة,,,,,بلدية الوكرة,90,الوكرة,,,25.18131526,51.60094096
المدرسة اللبنانية - فرع الهتمي القديم,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة + ابتدائي,,المنهج اللبناني,,,بلدية الدوحه,17,الرفاع,,,25.2859035,51.54269349
روضة العود الأخضر العالمية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي,,المنهج الهندي,,,بلدية الدوحه,43,نعيجة 43,,,25.25272902,51.51066205
المدرسة الإيرانية الابتدائية الإعدادية الثانوية للبنات,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الايراني,,,بلدية الدوحه,44,نعيجة 44,,,25.24324843,51.54179771
مدرسة الزيتون الابتدائية الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي,,المنهج الهندي,,,بلدية الدوحه,44,نعيجة 44,,,25.24129842,51.52519143
روضة حقل الربيع الخاصة - فرع المطار,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي + اعدادي + ثانوي,,المنهج الهندي,,,بلدية الدوحه,47,الثمامة 47,,,25.23963507,51.553939
روضة ومدرسة العود الأخضر العالمية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة + ابتدائي,,المنهج الهندي,,,بلدية الدوحه,47,الثمامة 47,,,25.23353006,51.57229757
مدرسة بيرل - الثمامة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي,,المنهج السوري,,,بلدية الريان,51,غرافة الريان,,,25.3294904,51.4121257
المدرسة التونسية الإعدادية الثانوية بالدوحة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي,,المنهج السوري,,,بلدية الريان,52,اللقطة,,,25.31612231,51.46932535
روضة العلماء الدولية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة,,المنهج المصري,,,بلدية الريان,53,الريان الجديد,,,25.29935476,51.41145458
مدرسة العلماء الابتدائية الدولية الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي,,المنهج الهندي,,,بلدية الريان,53,معيذر 53,,,25.2717759,51.42505199
مدرسة جاليليو العالمية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة + ابتدائي,,المنهج التونسي,,,بلدية الريان,55,معيذر 55,,,25.26668642,51.42419792
روضة القاهرة الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة,,المنهج المصري,,,بلدية الريان,55,العزيزية,,,25.24873074,51.43872684
مدرسة القاهرة الخاصة بنين - بنات,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي + اعدادي + ثانوي,,المنهج المصري,,,بلدية الريان,55,العزيزية,,,25.24879254,51.43869442
الروضة التونسية بالدوحة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة,,المنهج التونسي,,,بلدية الريان,56,المعمورة 56,,,25.24711448,51.49893651
المدارس الأردنية للبنات والبنين,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الأردني,,,بلدية الريان,56,عين خالد,,,25.23269778,51.46303047
المدارس الفلسطينية بنين- بنات,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الفلسطيني,,,بلدية الريان,56,بو هامور,,,25.2220641,51.49569895
المدرسة الإيرانية الإعدادية الثانوية للبنين,privée,écoles privées pour différentes nationalités,مدارس الجاليات,اعدادي + ثانوي,,المنهج الايراني,,,بلدية الريان,56,بو هامور,,,25.22913893,51.50000678
المدرسة الإيرانية الابتدائية للبنين,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة + ابتدائي,,المنهج الايراني,,,بلدية الريان,56,بو هامور,,,25.22913893,51.50000678
المدرسة الباكستانية الدولية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الباكستاني,,,بلدية الريان,56,بو هامور,,,25.23154513,51.50135091
المدرسة التونسية الابتدائية بالدوحة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة + ابتدائي,,المنهج التونسي,,,بلدية الريان,56,بو هامور,,,25.23062881,51.49180907
المدرسة التونسية بالدوحة - فرع المعمورة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي,,المنهج التونسي,,,بلدية الريان,56,بو هامور,,,25.25137564,51.48557906
المدرسة السودانية - بنين - بنات,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج السوداني,,,بلدية الريان,56,بو هامور,,,25.22340053,51.49682475
المدرسة الفلبينية الدولية الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الفلبيني,,,بلدية الريان,56,عين خالد,,,25.21797991,51.44161241
المدرسة الفلبينية بالدوحة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الفلبيني,,,بلدية الريان,56,مسيمير,,,25.21051961,51.52081456
المدرسة المصرية للغات الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج المصري,,,بلدية الريان,56,المعمورة 56,,,25.24722185,51.50069907
المدرسة الهندية الإسلامية الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الهندي,,,بلدية الريان,56,المعمورة 56,,,25.23799791,51.50731067
المدرسة الهندية المثالية الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الهندي,,,بلدية الريان,56,بو هامور,,,25.22270125,51.50054885
روضة الزيتون الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة,,المنهج الهندي,,,بلدية الريان,56,بو هامور,,,25.23298821,51.48136823
مدرسة أطفال الغد الابتدائية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج التركي,,,بلدية الريان,56,عين خالد,,,25.23478345,51.46939143
مدرسة الدوحة الهندية الحديثة الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الهندي,,,بلدية الريان,56,المعمورة 56,,,25.2364896,51.50140301
مدرسة باك شمعة الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الهندي,,,بلدية الريان,56,مسيمير,,,25.21107155,51.52296764
مدرسة راجا غيري الشعبية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج البنغلاديشي,,,بلدية الريان,56,بو هامور,,,25.22369652,51.49373475
مدرسة نوبل الدولية الإعدادية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,اعدادي,,المنهج الهندي,,,بلدية الريان,56,ام السنيم,,,25.20875716,51.46868264
مدرسة نوبل الدولية الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي,,المنهج الهندي,,,بلدية الريان,56,بو هامور,,,25.2314131,51.4947427
المدرسة اللبنانية الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج اللبناني,,,بلدية الدوحه,63,عنيزة 63,,,25.32762059,51.52144149
مدرسة بيرل - الدفنة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة + ابتدائي + اعدادي,,المنهج الهندي,,,بلدية الدوحه,66,لقطيفية,,,25.36992466,51.49791508
روضة سمارت انترناشيونال,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة,,المنهج الهندي,,,بلدية ام صلال,71,الخريطيات,,,25.37348887,51.43921281
مدرسة الزيتون الدولية –فرع ام صلال,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي + اعدادي + ثانوي,,المنهج الهندي,,,بلدية ام صلال,71,ام صلال علي,,,25.47604808,51.39662656
روضة الوطن الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة,,المنهج الهندي,,,بلدية الخور و الذخيرة,74,الخور,,,25.68396983,51.49425133
مدرسة الخور الدولية الخاصة - المنهج الهندي,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الهندي,,,بلدية الخور و الذخيرة,74,ام اعنيق,,,25.71441844,51.53224635
مدرسة الجالية الاثيوبية الدولية - بالدوحة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة + ابتدائي,,المنهج الإثيوبي,,,بلدية الشيحانية,80,الشيحانية,,,25.37015869,51.22630458
المدرسة الهندية الحديثة الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الهندي,,,بلدية الوكرة,90,الوكرة,,,25.17402457,51.60306118
روضة الزهرة الصغيرة الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة,,المنهج الهندي,,,بلدية الوكرة,90,الوكرة,,,25.1483845,51.60892143
روضة حقل الربيع الخاصة - فرع الوكرة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,روضة,,المنهج الهندي,,,بلدية الوكرة,90,الوكرة,,,25.17566923,51.5981135
روضة ومدرسة القاهرة الابتدائية الإعدادية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الهندي,,,بلدية الوكرة,90,الوكرة,,,25.18206406,51.60038163
مدرسة حقل الربيع الابتدائية,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الهندي,,,بلدية الوكرة,91,ام بشر,,,25.18766824,51.56263736
مدرسة دار السلام الهندية الخاصة,privée,écoles privées pour différentes nationalités,مدارس الجاليات,جميع المراحل,,المنهج الهندي,,,بلدية الوكرة,91,الوكير,,,25.14908106,51.53410238
مدرسة نوبل الدولية – فرع الوكير,privée,écoles privées pour différentes nationalités,مدارس الجاليات,ابتدائي + اعدادي + ثانوي,,المنهج الهندي,,,بلدية الوكرة,91,المشاف,,,25.18004609,51.56931335
أكاديمية أمجاد الدولية,privée,écoles privées pour différentes nationalités,مدارس القسائم التعليمية,ابتدائي,,المعايير الوطنية,,,بلدية الدوحه,31,ام لخبا,,,25.34517076,51.47698712
مدرسة الفرقان الابتدائية الخاصة للبنين,privée,écoles privées pour différentes nationalités,مدارس القسائم التعليمية,ابتدائي,,المنهج البريطاني,,,بلدية الوكرة,92,مسيعيد 92,,,25.00458504,51.54249451
مدرسة المجتمع الابتدائية الإعدادية الثانوية الخاصة للبنات,privée,écoles privées pour différentes nationalités,مدارس القسائم التعليمية,ابتدائي + اعدادي + ثانوي,,"منهج IB, المنهج البريطاني",,,بلدية الدوحه,32,دحل الحمام,,,25.32920315,51.47807016
